12sghbbmjha9fpj9c1hi5c1e2g5lrobi.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. Wnw4lmohh8aajnexQCa/PnkttY1mDwodAUG2FqNvHkj+tjvZUmQhCh8TIgYg+hZIodOQWpPr3IxSXRcyUW7q+I9YKVSxaxDNo3IU9ONCCef6CC9tDDm5ctHgtQoV1NKBvwQD8M7o9orDb5RtfI38IrlDWFWfnteAcIgqpg6d8wg=
144.cards.	3600	in	ns	ns1.dns-redirect.com.
144.cards.	3600	in	ns	ns2.dns-redirect.com.
14l8n4bphpt3q2pe9bjl4gkidvmiuiot.cards.	3600	in	nsec3	1 1 0 73 15CK9IFJPON3LM2U44NP3O6DUQAT10AT NS DS RRSIG
14l8n4bphpt3q2pe9bjl4gkidvmiuiot.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. DQhBSpEylfDYzHz8NvlOQoYxN/9VKf8Oia2fppD6MDeUyxA1eOtP379SmowqVQzywNNlbvzdhxyP90tLL6Sl13+etIk+lkLoJpa6rMDtQfVyI12aQcLs49jd/hECmCVAmvO8mAdwUk8de6gzUiDOjiTERoazK3OdAQADfJ0mSLo=
15.cards.	3600	in	ns	ns1.crazydomains.com.
15.cards.	3600	in	ns	ns2.crazydomains.com.
150.cards.	3600	in	ns	curitiba.ns.porkbun.com.
150.cards.	3600	in	ns	fortaleza.ns.porkbun.com.
150.cards.	3600	in	ns	maceio.ns.porkbun.com.
150.cards.	3600	in	ns	salvador.ns.porkbun.com.
151.cards.	3600	in	ds	42512 8 2 258B53334FD95DFF445CE535688E5700AF5F968D6FCB8C698FFB8FF98356AAEB
151.cards.	3600	in	ns	ns1031.ui-dns.com.
151.cards.	3600	in	ns	ns1034.ui-dns.de.
151.cards.	3600	in	ns	ns1077.ui-dns.biz.
151.cards.	3600	in	ns	ns1077.ui-dns.org.
151.cards.	3600	in	rrsig	DS 8 2 3600 20250930152720 20250909142720 31611 cards. JLwPLj7xNN4o9IxL255m9kRl1Skob5cp5CHi3B+w+rLrPSlO2Hys6jGJMw8eh9vTQQBsYWWF8k/I/NMypW28to0B9KWe9uXmiBeR8glJGFarmReySiXwu1oRkg2TkOCMYBaSdIAli25VGyqnfd+QIXZKBDuKuQEvZxn/S0ZxpkU=
15ck9ifjpon3lm2u44np3o6duqat10at.cards.	3600	in	nsec3	1 1 0 73 15P99KHQD94LHF1373E97E30JMP2JD3N NS DS RRSIG
15ck9ifjpon3lm2u44np3o6duqat10at.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. ZBWl5pWLSk7ZPNeigJaqRKIXOrchybV5otfj+cGmhiVQboWylunlhCvFWlhilevqPOfXZTCS0/WjS0nN7hVVI9gOYV3+Xe+tp5XejNHAY2heUG3h/CV0hP5S28cz6rBC1T+uRJcLErgpaU9vRFfu7Vu/wKdMgwpwrEM7wPbR9+k=
15p99khqd94lhf1373e97e30jmp2jd3n.cards.	3600	in	nsec3	1 1 0 73 1663V5F6OC5T9NDUN1JTGC08UBQI0063 NS DS RRSIG
15p99khqd94lhf1373e97e30jmp2jd3n.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. Wtj9Ao9mB7Axnft7VPb2s5v/jVPDSxjSwctm6eP0WDslbFjVp7iiZ7Hh1wMkHNDrBepFbOUvIixtERS7sY9DQv7/s0xxCHnclkrq09dub3mOhN0e+TLS1ISWpJU4vOs2687aeCQ7pnjI0itLy9DrLdUCrLxPMqjb96FYkTDb0u0=
1663v5f6oc5t9ndun1jtgc08ubqi0063.cards.	3600	in	nsec3	1 1 0 73 1AINP2V86VU19BV008TDFMS9QSEARBF0 NS DS RRSIG
1663v5f6oc5t9ndun1jtgc08ubqi0063.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. ZA5yadDOOmlyi+RzB2bzNR59VmE6GrL0kCbyAXySqLZ/TqKcSV83JZzc5TASWTHgrSul5w+aNc/SbQr3QO8cBdGVBktDeYcmI1D2TTlieFvus1iieofZN8VuOO6U6sOpyyEVWSRqI8hHC7dsGIBEapwfLnWOw5uWyURIex2Ir3U=
1776.cards.	3600	in	ns	dns1.registrar-servers.com.
1776.cards.	3600	in	ns	dns2.registrar-servers.com.
18.cards.	3600	in	ns	arvind.ns.cloudflare.com.
18.cards.	3600	in	ns	ryleigh.ns.cloudflare.com.
1883.cards.	3600	in	ns	curitiba.ns.porkbun.com.
1883.cards.	3600	in	ns	fortaleza.ns.porkbun.com.
1883.cards.	3600	in	ns	maceio.ns.porkbun.com.
1883.cards.	3600	in	ns	salvador.ns.porkbun.com.
188bet.cards.	3600	in	ns	macy.ns.cloudflare.com.
188bet.cards.	3600	in	ns	memphis.ns.cloudflare.com.
1ainp2v86vu19bv008tdfms9qsearbf0.cards.	3600	in	nsec3	1 1 0 73 1CBA2JHFKK302D16U4G3MK4IUINV891T NS DS RRSIG
