a2z.condos.	3600	in	ns	ns-cloud-c1.googledomains.com.
a2z.condos.	3600	in	ns	ns-cloud-c2.googledomains.com.
a2z.condos.	3600	in	ns	ns-cloud-c3.googledomains.com.
a2z.condos.	3600	in	ns	ns-cloud-c4.googledomains.com.
a2z.condos.	3600	in	rrsig	DS 8 2 3600 20250930152632 20250909142632 30993 condos. lSccFelcCaOOe7VJcK6iYKi0G4iC37tH2zHCVc1r5Ko/7l2vCpXQLf0IHfrMrVTDuEA1+b10Je4QJ3FNMbsKwc/e93xFnFrtY30YILbhh9wJ8aH5O0i5sgEAg+f+PLjNgQWe8jbMaR6g0VlCffqP1yI6usMwZ6FwcfiBKZknXKM=
abbottssquare.condos.	3600	in	ns	pdns01.domaincontrol.com.
abbottssquare.condos.	3600	in	ns	pdns02.domaincontrol.com.
abc8.condos.	3600	in	ns	bryce.ns.cloudflare.com.
abc8.condos.	3600	in	ns	margot.ns.cloudflare.com.
abq.condos.	3600	in	ns	ainsley.ns.cloudflare.com.
abq.condos.	3600	in	ns	zac.ns.cloudflare.com.
abyat.condos.	3600	in	ns	dns1.registrar-servers.com.
abyat.condos.	3600	in	ns	dns2.registrar-servers.com.
access.condos.	3600	in	ns	ns0.directnic.com.
access.condos.	3600	in	ns	ns1.directnic.com.
accounting.condos.	3600	in	ns	ns15.domaincontrol.com.
accounting.condos.	3600	in	ns	ns16.domaincontrol.com.
acehqvqreg7ijv36je70ehr5tspm719p.condos.	3600	in	nsec3	1 1 0 73 ALJSG07F9GLGR51GH2SKABHLLM3HPCI7 NS DS RRSIG
acehqvqreg7ijv36je70ehr5tspm719p.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. rXqXAYxFJNP8S17B8reZyMntsqej0KusiVYqkWQx0lelSrybJEqk9kqYTUSvg2wdQqz66LVozfkvaE0VF+//tzOnZkko/SmO4KNgBswPnNy6RffZFfrQDrP3d2lzZbujWUkN5rQvplvnI98aOWB+9Yl2JPiy7VGiSEfLLE7MCEE=
administraciondecondominios.condos.	3600	in	ns	ns27.domaincontrol.com.
administraciondecondominios.condos.	3600	in	ns	ns28.domaincontrol.com.
administradorde.condos.	3600	in	ns	ns59.domaincontrol.com.
administradorde.condos.	3600	in	ns	ns60.domaincontrol.com.
admiral.condos.	3600	in	ds	41711 13 2 5757726DD162A6BD30967A31A17544ED75AEF7E3CBDC34479130794E5FDE05E7
admiral.condos.	3600	in	ns	launch1.spaceship.net.
admiral.condos.	3600	in	ns	launch2.spaceship.net.
admiral.condos.	3600	in	rrsig	DS 8 2 3600 20250930152632 20250909142632 30993 condos. f4Wl+EYAieod2R+1py80KErkV1sab3uV/DU206qK174Nsq0jJpiQaMHMKC0c3wJeJBotjUVBNB3n+iWf1MH6BICupasgmnQTFtAx3eK6+QgKgJaSF0PZBDWhCCXPXnfbpVMcZvMeFVtQ9rHw8E1W6ZJfsbLgSsUMZK/2L2I4WQ4=
adu.condos.	3600	in	ns	dns1.registrar-servers.com.
adu.condos.	3600	in	ns	dns2.registrar-servers.com.
africa.condos.	3600	in	ds	55990 8 2 05F3E9453C7A9824F415CEB015EBF0DED53AA016422AA695A02365DBF17157C0
africa.condos.	3600	in	ns	ns-cloud-a1.googledomains.com.
africa.condos.	3600	in	ns	ns-cloud-a2.googledomains.com.
africa.condos.	3600	in	ns	ns-cloud-a3.googledomains.com.
africa.condos.	3600	in	ns	ns-cloud-a4.googledomains.com.
