21otvj88ocb27ekv5gt1698k6jsj9fs2.mba.	3600	in	nsec3	1 1 0 73 2D0SIFOIC8A0BIK33GSOEU31S1BVDS49 NS DS RRSIG
21otvj88ocb27ekv5gt1698k6jsj9fs2.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. S8jxKHqCQhLPVuL8AHOKzF4zy58Codpgvt5IEnYK2UVX0aD5Jx0ZI2BDPQ1grpQhom/Y4Jan5AmlG7Sg0zVYPJEZJFCE6HpZYZE/ELi4TLiqj2JjMGqHKXzDgtLInvL+Ey9ch2OEpfnMdmT9mCLCEkdHaKcHxbO/FA5ARVM59vM=
222.mba.	3600	in	ns	golf.dnspod.net.
222.mba.	3600	in	ns	train.dnspod.net.
22bet.mba.	3600	in	ns	ns1.dns-redirect.com.
22bet.mba.	3600	in	ns	ns2.dns-redirect.com.
23059.mba.	3600	in	ns	n1.xundns.com.
23059.mba.	3600	in	ns	n2.xundns.com.
233.mba.	3600	in	ns	arlen.dnspod.net.
233.mba.	3600	in	ns	crab.dnspod.net.
2333333.adsl.mba.	3600	in	a	198.0.5.0
2333333.adsl.mba.	3600	in	a	198.2.1.0
23win.mba.	3600	in	ns	kevin.ns.cloudflare.com.
23win.mba.	3600	in	ns	rosalie.ns.cloudflare.com.
24212.mba.	3600	in	ns	a.dnspod.com.
24212.mba.	3600	in	ns	b.dnspod.com.
24212.mba.	3600	in	ns	c.dnspod.com.
24270.mba.	3600	in	ns	ns1.dns.com.
24270.mba.	3600	in	ns	ns2.dns.com.
24576.mba.	3600	in	ns	dexter.ns.cloudflare.com.
24576.mba.	3600	in	ns	perla.ns.cloudflare.com.
258.mba.	3600	in	ns	ns1.dns-redirect.com.
258.mba.	3600	in	ns	ns2.dns-redirect.com.
25963.mba.	3600	in	ns	ns1.dyna-ns.net.
25963.mba.	3600	in	ns	ns2.dyna-ns.net.
26036.mba.	3600	in	ns	a.dnspod.com.
26036.mba.	3600	in	ns	b.dnspod.com.
26036.mba.	3600	in	ns	c.dnspod.com.
28.mba.	3600	in	ns	a.share-dns.com.
28.mba.	3600	in	ns	b.share-dns.net.
28500.mba.	3600	in	ns	ns1.dns.com.
28500.mba.	3600	in	ns	ns2.dns.com.
28792.mba.	3600	in	ns	n1.xundns.com.
28792.mba.	3600	in	ns	n2.xundns.com.
28bet.mba.	3600	in	ns	dns1.registrar-servers.com.
28bet.mba.	3600	in	ns	dns2.registrar-servers.com.
292.mba.	3600	in	ns	carioca.ns.cloudflare.com.
292.mba.	3600	in	ns	joel.ns.cloudflare.com.
29464.mba.	3600	in	ns	ns1.dns.com.
29464.mba.	3600	in	ns	ns2.dns.com.
2b2t.mba.	3600	in	ns	dns17.hichina.com.
2b2t.mba.	3600	in	ns	dns18.hichina.com.
2d0sifoic8a0bik33gsoeu31s1bvds49.mba.	3600	in	nsec3	1 1 0 73 2DFGHISVGDIPHHP648CE3F429B5O2539 NS DS RRSIG
