0o.bot.	172800	in	ns	fortaleza.ns.porkbun.com.
0o.bot.	172800	in	ns	maceio.ns.porkbun.com.
0o.bot.	172800	in	ns	salvador.ns.porkbun.com.
0patch.bot.	172800	in	ns	dns1.registrar-servers.com.
0patch.bot.	172800	in	ns	dns2.registrar-servers.com.
0pbr0038bvl8he6gofal6825qsfqrr2t.bot.	60	in	nsec3	1 1 0 - 0SSE6LBMQ8R7PM2PIRQV9DB6M64TJF7A NS DS RRSIG
0pbr0038bvl8he6gofal6825qsfqrr2t.bot.	60	in	rrsig	NSEC3 8 2 60 20251102135620 20250928134645 47949 bot. cFqbzyOegj76STAVEVMprn10RQNCziuLBeIz3kN048DY80eqzQKge7zJLRA+S4IUEt01Nf1XfwCIbZ4F1ZYUQ1Wc83Cvjv13oDUbR+C7C43ad4sT7hx19yAT9DU/JNuZ3QWiKVPsNtibW6zCiMi1rLHf4juXNiX9FMZijDGp/OLs5PRiZS6mKJ2GacxnMt4aVSY4wG+Eq6HLC6D/JwuQA6vvRa96gYfSJNiPXlKTSWs1n0cksgH0NoWCCNjqXo/7whXRL9G25eERAng1uCnxZOsQY0Z00nXUk27ktf0XXSPkKTjyXyy1s9SaLip/bM/s7je7OpMjvrhtkzkMoSNyXw==
0perator.bot.	172800	in	ns	ns1.dyna-ns.net.
0perator.bot.	172800	in	ns	ns2.dyna-ns.net.
0sse6lbmq8r7pm2pirqv9db6m64tjf7a.bot.	60	in	nsec3	1 1 0 - 0T3JOF8GJOMBEB0C0RO2Q6H1HDJ3NBOI NS DS RRSIG
0sse6lbmq8r7pm2pirqv9db6m64tjf7a.bot.	60	in	rrsig	NSEC3 8 2 60 20251031214903 20250926210117 47949 bot. HPhTQ+NlwAfo7zY95aXGjUMs7qnM55YkWI5wtU/YlCFqm9FEKsm7PnZXyW7Ghic7V+rzBmHTJ22CnN55jNzAPDBBKVkefCRywCMPpwiP1X8yU8kGK2La0xZw1EundCWZ9P6PqFvjAwt1rZJe/VigEZiMKWHCtDHNS76cGMZUjHVo1yE6bpMRpnlwdh7O05olypEyWRjUeN2T50WhBt3zdWAG0Ie7CJgG1I2LFprQROZnXVeNvDTL2vmE7Ty1hlESBCNWztxMYZwm+KsZV4hCquk6moOTqdwCJ2Co1ZmYeY/Qu5XuOG6CUUIMv79LYgq+9D8IkSUqMJgkginOCwqf1Q==
0t3jof8gjombeb0c0ro2q6h1hdj3nboi.bot.	60	in	nsec3	1 1 0 - 0T83EJJN1LTL25O5BGQLIQB01OUDLI5E NS DS RRSIG
