04072071.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. YQb/9kCahQ6E0m1GHKgNqm6nnXxpor0jx/OY2VIn2ItJ2M9qg644YddciUkrENKQrZVcQrs384xZAELf5pLeoQ==
04313843.tattoo.	3600	in	ds	30720 13 2 5E4B9883741DB99DB8271FF3050B8BC2028CAEFCB40B1D73D65527A902E99E2C
04313843.tattoo.	3600	in	ns	launch1.spaceship.net.
04313843.tattoo.	3600	in	ns	launch2.spaceship.net.
04313843.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. 3s05CJxnH7ZDt6jTvcRz5MMJkLbJp09mLNrXMzpSmkaEZqyypRMyWcAjfZ6hunDQ2ZA7JkEnluL+XmOcNzfqsA==
04520724.tattoo.	3600	in	ds	48537 13 2 8480BDCA7AA5B12B4AA33DE92E18EEDA34343146FC23815178B8F9677AA2377F
04520724.tattoo.	3600	in	ns	launch1.spaceship.net.
04520724.tattoo.	3600	in	ns	launch2.spaceship.net.
04520724.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. Qb4bmaVW6Rzmxr7bjfpw4HfrBve4K3bp4zYPcy8iosi+EfqRKRwVr0Dv3B0dJRaPaBJKmc0dFhoNDlercRruAA==
04542258.tattoo.	3600	in	ds	43613 13 2 85CED0B7606FEAB800F49533D7AF94F58C88A8C0854CE96FA1A49A22E780CCC6
04542258.tattoo.	3600	in	ns	launch1.spaceship.net.
04542258.tattoo.	3600	in	ns	launch2.spaceship.net.
04542258.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. P1MN1va4S9wkY51U7PQyPWkuDp8Tpphw1ripsqUJBGDR/1ql/CmvQHBsDeaSHx05ip8BsaiOqNG1GOVkMYGaHg==
046vaua8k5jqjimrlkru15ij2gkf0aun.tattoo.	900	in	nsec3	1 1 0 - 049096UCC27TBTK4787I9LAKK2QCM2M4 NS DS RRSIG
046vaua8k5jqjimrlkru15ij2gkf0aun.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250904074752 20250821072926 58469 tattoo. JERpqr79BpWfNyrrn4gBI5AtsKraTB46jHqgLIRw0QGFY2wtFviBjpTNKLiAIXUE/1cJrB+rsmpCxphkwCvU5w==
04744796.tattoo.	3600	in	ds	11951 13 2 DE0865F64D117247B052F0EE40CA9D4CB0E97AA7416167BE77349029B7410F55
04744796.tattoo.	3600	in	ns	launch1.spaceship.net.
04744796.tattoo.	3600	in	ns	launch2.spaceship.net.
04744796.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. SYk9QN5PKmxxcdtXvO1RX7xHisx9y2bDZ2riY2tOWrRNdgAY1ZC8zjwx668RzoK3PSBgWrtHJ3V61/BvrrJv4g==
049096ucc27tbtk4787i9lakk2qcm2m4.tattoo.	900	in	nsec3	1 1 0 - 058BG5AVH6O8J4ET8VUVLV4D3IP1Q08J NS DS RRSIG
