19mko2up2189vi5o2fbfpqf8pei6lsc9.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. ckIZOVVdJLNZpIRGcTi92ZbkyG5e5ETeRxO+QLVeCTh2r1TmVZP3aeRHsNvqqbmmzBJtmADaDwumWs4085KgiS890zqO1RYBrRJIIeGjcC1MN/nG/VVGvTGiyuwWP2dSpAVkN9SQPpO6hOiGlxjCH8mYJQ5eLpC3JsfypMPT1GQ=
1b1.kim.	3600	in	ns	ns1.whois.com.
1b1.kim.	3600	in	ns	ns2.whois.com.
1b1.kim.	3600	in	ns	ns3.whois.com.
1b1.kim.	3600	in	ns	ns4.whois.com.
1bet1.kim.	3600	in	ns	ns1.whois.com.
1bet1.kim.	3600	in	ns	ns2.whois.com.
1bet1.kim.	3600	in	ns	ns3.whois.com.
1bet1.kim.	3600	in	ns	ns4.whois.com.
1bgd9idk7uv17pgmtl8l5l2vd0potp2b.kim.	3600	in	nsec3	1 1 0 73 1C3N904MKAU437ULVOLB06B93BVKTG9D NS DS RRSIG
1bgd9idk7uv17pgmtl8l5l2vd0potp2b.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. lSuHC/u9CTkMknzK7aJ0ZJItth4Ma+V5I/LgK3G0kJWQtoFzMR8TbFcKUl5de8XhDhobLThTDu0vTBEBLzaa9UQKmMGXXs7UatHvswOFAfsJhR6IfvpLC62OvS3Pr7kh/dV3v15bvKkaFth8Qip3PXo7GKJynw9TY6KSqTNg7po=
1c3n904mkau437ulvolb06b93bvktg9d.kim.	3600	in	nsec3	1 1 0 73 1LKP5HSJKAUCID7F7FB55JDQVA6FQNCB NS DS RRSIG
