xn----ymcabaacdn3byb2g4e1acbcs4c.xn--ngbc5azd.	3600	in	ns	ns-31-c.gandi.net.
xn----ymcabaacdn3byb2g4e1acbcs4c.xn--ngbc5azd.	3600	in	ns	ns-89-a.gandi.net.
xn----ymcabaacdn3byb2g4e1acbcs4c7b.xn--ngbc5azd.	3600	in	ns	a.icann-servers.net.
xn----ymcabaacdn3byb2g4e1acbcs4c7b.xn--ngbc5azd.	3600	in	ns	b.icann-servers.net.
xn----ymcabaacdn3byb2g4e1acbcs4c7b.xn--ngbc5azd.	3600	in	ns	c.icann-servers.net.
xn----ymcabaacdn3byb2g4e1acbcs4c7b.xn--ngbc5azd.	3600	in	ns	ns.icann.org.
xn----ymcafk5be6j5ambvf0a.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----ymcafk5be6j5ambvf0a.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----ymcafk5be6j5ambvf0a.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----ymcatr2jabgqh3bfe.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn----ymcatr2jabgqh3bfe.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn----ymcb6ajhb2kybs.xn--ngbc5azd.	3600	in	ns	ns3.emirates.com.
xn----ymcb6ajhb2kybs.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.biz.
xn----ymcb6ajhb2kybs.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.com.
xn----ymcb6ajhb2kybs.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.net.
xn----ymcb6ajhb2kybs.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.org.
xn----ymcbkxp5c4eltd.xn--ngbc5azd.	3600	in	ns	byron.ns.cloudflare.com.
xn----ymcbkxp5c4eltd.xn--ngbc5azd.	3600	in	ns	zariyah.ns.cloudflare.com.
xn----ymcbmxj2d0ectd.xn--ngbc5azd.	3600	in	ns	byron.ns.cloudflare.com.
xn----ymcbmxj2d0ectd.xn--ngbc5azd.	3600	in	ns	zariyah.ns.cloudflare.com.
xn----ymcbuyi6ic2co.xn--ngbc5azd.	3600	in	ns	ns3.emirates.com.
xn----ymcbuyi6ic2co.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.biz.
xn----ymcbuyi6ic2co.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.com.
xn----ymcbuyi6ic2co.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.net.
xn----ymcbuyi6ic2co.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.org.
xn----ymcbwcud1mehfg1d.xn--ngbc5azd.	3600	in	ns	ns1.dreamhost.com.
xn----ymcbwcud1mehfg1d.xn--ngbc5azd.	3600	in	ns	ns2.dreamhost.com.
xn----ymcbwcud1mehfg1d.xn--ngbc5azd.	3600	in	ns	ns3.dreamhost.com.
xn----ymcg0c4c1ani.xn--ngbc5azd.	3600	in	ns	ns1.101domain.com.
xn----ymcg0c4c1ani.xn--ngbc5azd.	3600	in	ns	ns2.101domain.com.
xn----ymcg0c4c1ani.xn--ngbc5azd.	3600	in	ns	ns5.101domain.com.
xn----ymchlnlqa7md7afbb1ae.xn--ngbc5azd.	3600	in	ns	ns1.101domain.com.
xn----ymchlnlqa7md7afbb1ae.xn--ngbc5azd.	3600	in	ns	ns2.101domain.com.
xn----ymck7abb2hpbvp.xn--ngbc5azd.	3600	in	ns	ns1.f5clouddns.com.
xn----ymck7abb2hpbvp.xn--ngbc5azd.	3600	in	ns	ns2.f5clouddns.com.
xn----ymck8abb1hlf1a7bac.xn--ngbc5azd.	3600	in	ns	ns1.domaindiscount24.net.
xn----ymck8abb1hlf1a7bac.xn--ngbc5azd.	3600	in	ns	ns2.domaindiscount24.net.
xn----ymck8abb1hlf1a7bac.xn--ngbc5azd.	3600	in	ns	ns3.domaindiscount24.net.
xn----ymcxbkm1ki.xn--ngbc5azd.	3600	in	ns	kyree.ns.cloudflare.com.
xn----ymcxbkm1ki.xn--ngbc5azd.	3600	in	ns	lila.ns.cloudflare.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns1.markmonitor.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns2.markmonitor.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns3.markmonitor.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns4.markmonitor.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns5.markmonitor.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns6.markmonitor.com.
xn----ymcy4ehngbcgwvbb.xn--ngbc5azd.	3600	in	ns	ns7.markmonitor.com.
xn----ymczf6bzdbpd.xn--ngbc5azd.	3600	in	ns	byron.ns.cloudflare.com.
