7vital.hospital.	3600	in	rrsig	DS 8 2 3600 20250930155640 20250909145640 12573 hospital. hyHx/EjlzJoDwCYP5l+YOYXQLaGOLYUx2GdpjicYHp5n/TYJ9OpyU//2npZkiy6n94rxy4mPt814lnwpVTcG+rrkxjOETJF9Q0fLgTk+bj01qgmy4j6/7fVl036lldUrzGgpEFzVuRqJd5S569h9lMAUni5/i1IBiyZZRmVjhOg=
83sdjq2o895pj21vh2hfq7dehtd5qrfd.hospital.	3600	in	nsec3	1 1 0 73 84JDA1SBAK2CN8LKA5QQCR31E26DFLIU NS DS RRSIG
83sdjq2o895pj21vh2hfq7dehtd5qrfd.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. hOXXoPJ54EcIExoorctv9VL0OHJf7m3Mmjb45FnmKO3yEfLFcXHF0mktHzkTG1hDUmwCc7k7+5BddPhYZMf5waPo9/eLNiA9IAyWYp9J9xbPD3mxmet/iCOzGNJv7ZjXrF3pfRPq5HZGQyMdWySCIUWvcHd4YtgtqRTbXZMSzu8=
84jda1sbak2cn8lka5qqcr31e26dfliu.hospital.	3600	in	nsec3	1 1 0 73 8ATJ3JNLTSH0E3DMA29QCSBQIAJ1OBE0 NS DS RRSIG
84jda1sbak2cn8lka5qqcr31e26dfliu.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. UKUh0R2aHMQuAg6LwtsZ23gqt4BWwgEWwifdutgZVMxvJy13mPsgYmCwyZS0l2/pIPy5zIcZlmSI5l7t7F1xFGdLnWewFXO8tbZ+NDwBPNaZAJ3oajZg5CrZdrLVB+K34IhVRNDAQZk00YlqJViKY4a2V9/SAMY0jDaLkLR+yTM=
8atj3jnltsh0e3dma29qcsbqiaj1obe0.hospital.	3600	in	nsec3	1 1 0 73 8LQGJAIBQE3IT3OATO3RMB1KGR4POD3A NS DS RRSIG
8atj3jnltsh0e3dma29qcsbqiaj1obe0.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. hBYFdDH5J34GydySsCePR3OYBT/DJyWNmKEU1CwkczKOUXB1w9qfjY/4Q+GILv+StZJkU2PK7bdkT9ZucKqWHe7649c6ivbBbZL+mERvKrBX8HfZMkuRCkjsQdSJxiXYQT/CEtn402RHtdAIR3d+Gv3xxQVFuGZpxXsHk+NdfRE=
8lqgjaibqe3it3oato3rmb1kgr4pod3a.hospital.	3600	in	nsec3	1 1 0 73 8ODUT2LFSIA0FBPFCEC8CFHMOVBMK1TL NS DS RRSIG
8lqgjaibqe3it3oato3rmb1kgr4pod3a.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. XA7rvKPw4/YeAlTBtObgPyuaS6OPJvDNHa+qv2NTGMB5+8hkuUGwtupG+/RDnNGeBFRVnR7/5965ZSZQ5kpnh10Ia7oDpELSawn4dZ0iWu/f/dPiibEx3s6sAY2lhUJxkZasx9J7E0K/DT9qiiIhR1xnJBhX3m91a64sS8uhmI4=
8odut2lfsia0fbpfcec8cfhmovbmk1tl.hospital.	3600	in	nsec3	1 1 0 73 8SJM8H23667QAEJHF150M5L1BN086877 NS DS RRSIG
