1111.berlin.	14400	in	ns	sima.ns.cloudflare.com.
1114.berlin.	14400	in	ns	ns1.1114.berlin.
1114.berlin.	14400	in	ns	ns2.1114.berlin.
1114.berlin.	14400	in	ns	ns3.1114.berlin.
112.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
112.berlin.	14400	in	ns	ns-de.1and1-dns.com.
112.berlin.	14400	in	ns	ns-de.1and1-dns.de.
112.berlin.	14400	in	ns	ns-de.1and1-dns.org.
116117.berlin.	14400	in	ns	ns1071.ui-dns.biz.
116117.berlin.	14400	in	ns	ns1083.ui-dns.com.
116117.berlin.	14400	in	ns	ns1116.ui-dns.org.
116117.berlin.	14400	in	ns	ns1125.ui-dns.de.
1170.berlin.	14400	in	ns	ns3.stratoserver.net.
1170.berlin.	14400	in	ns	ns4.stratoserver.net.
1183b27frc0dm9egijl5bimedrk6rq56.berlin.	3600	in	nsec3	1 1 0 - 142DEMTCP4VCR15IUS6CMGIBGI24GE2A NS DS RRSIG
1183b27frc0dm9egijl5bimedrk6rq56.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250908211922 20250902072010 10974 berlin. Z0o4PdmK0ez8Na6kxXsm1Y5OsJeSEzBbsL2NkKYgxClqUaC7YSHuwFXSZQTsNEhNDrmYVZk/+EvR57k6LTp1mFr1pMFPt/SFVijsHf9q7KHPjRzyRSkphYuvlWQMajzU7xdjCWVnKreLG4M8b4qrtqVUkefRYJ9M1zhpqg+VQT0=
1199.berlin.	14400	in	ns	ns39.domaincontrol.com.
1199.berlin.	14400	in	ns	ns40.domaincontrol.com.
12-apostoli.berlin.	14400	in	ns	ns5.kasserver.com.
12-apostoli.berlin.	14400	in	ns	ns6.kasserver.com.
123.berlin.	14400	in	ns	a.ns14.net.
123.berlin.	14400	in	ns	b.ns14.net.
123.berlin.	14400	in	ns	c.ns14.net.
123.berlin.	14400	in	ns	d.ns14.net.
1234.berlin.	14400	in	ns	ns1.nshost2.de.
1234.berlin.	14400	in	ns	ns2.nshost2.de.
1234.berlin.	14400	in	ns	ns3.nshost2.net.
12345.berlin.	14400	in	ns	docks10.rzone.de.
12345.berlin.	14400	in	ns	shades16.rzone.de.
1234567.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
1234567.berlin.	14400	in	ns	ns-de.1and1-dns.com.
1234567.berlin.	14400	in	ns	ns-de.1and1-dns.de.
1234567.berlin.	14400	in	ns	ns-de.1and1-dns.org.
123consulting.berlin.	14400	in	ns	ns.udag.de.
123consulting.berlin.	14400	in	ns	ns.udag.net.
123consulting.berlin.	14400	in	ns	ns.udag.org.
123fahrschule.berlin.	14400	in	ns	angela.ns.cloudflare.com.
123fahrschule.berlin.	14400	in	ns	jonah.ns.cloudflare.com.
123gold.berlin.	14400	in	ns	docks09.rzone.de.
123gold.berlin.	14400	in	ns	shades10.rzone.de.
123zahnspange.berlin.	14400	in	ns	docks19.rzone.de.
123zahnspange.berlin.	14400	in	ns	shades10.rzone.de.
125-dance.berlin.	14400	in	ns	docks01.rzone.de.
125-dance.berlin.	14400	in	ns	shades13.rzone.de.
12555.berlin.	14400	in	ns	ns1041.ui-dns.de.
12555.berlin.	14400	in	ns	ns1064.ui-dns.biz.
12555.berlin.	14400	in	ns	ns1086.ui-dns.org.
12555.berlin.	14400	in	ns	ns1091.ui-dns.com.
12587.berlin.	14400	in	ns	ns1.cbxnet.de.
12587.berlin.	14400	in	ns	ns3.cbxnet.de.
12621.berlin.	14400	in	ns	docks11.rzone.de.
12621.berlin.	14400	in	ns	shades01.rzone.de.
128harleydentalstudios.berlin.	14400	in	ns	ns1.suspended-for.spam-and-abuse.com.
128harleydentalstudios.berlin.	14400	in	ns	ns2.suspended-for.spam-and-abuse.com.
12dry.berlin.	14400	in	ns	docks13.rzone.de.
12dry.berlin.	14400	in	ns	shades08.rzone.de.
12inch.berlin.	14400	in	ns	ns1076.ui-dns.com.
12inch.berlin.	14400	in	ns	ns1077.ui-dns.de.
12inch.berlin.	14400	in	ns	ns1077.ui-dns.org.
12inch.berlin.	14400	in	ns	ns1105.ui-dns.biz.
12k.berlin.	14400	in	ns	ns.udag.de.
12k.berlin.	14400	in	ns	ns.udag.net.
12k.berlin.	14400	in	ns	ns.udag.org.
12monkeys.berlin.	14400	in	ns	docks10.rzone.de.
12monkeys.berlin.	14400	in	ns	shades16.rzone.de.
12seasons.berlin.	14400	in	ns	adel.ns.cloudflare.com.
12seasons.berlin.	14400	in	ns	austin.ns.cloudflare.com.
13.berlin.	14400	in	ns	ns.udag.de.
13.berlin.	14400	in	ns	ns.udag.net.
13.berlin.	14400	in	ns	ns.udag.org.
1337.berlin.	14400	in	ns	docks12.rzone.de.
1337.berlin.	14400	in	ns	shades14.rzone.de.
13509.berlin.	14400	in	ns	ns1.variomedia.de.
13509.berlin.	14400	in	ns	ns2.variomedia.de.
13627.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
13627.berlin.	14400	in	ns	ns-de.1and1-dns.com.
13627.berlin.	14400	in	ns	ns-de.1and1-dns.de.
13627.berlin.	14400	in	ns	ns-de.1and1-dns.org.
137.berlin.	14400	in	ns	ns57.domaincontrol.com.
137.berlin.	14400	in	ns	ns58.domaincontrol.com.
14197.berlin.	14400	in	ds	16584 10 1 D7F5EFA8E81D05BAD2DF8798C5AD7F53940E4224
