nic.sky.	172800	in	ns	dnsb.nic.sky.
nic.sky.	172800	in	ns	dnsc.nic.sky.
nic.sky.	172800	in	ns	dnsd.nic.sky.
nic.sky.	172800	in	rrsig	DS 8 2 172800 20251012235308 20250907230219 11725 sky. HpTFgj45aKhmaT8oU/efcGY9uqSTtBmVqRLRQczaOr4CmeXSCGLIAO77q8Q4QHkCmEc5wimr0WJGQjaOy78UHlo+sJBPVCqUbJKmr/tD+ecJ/R0EaGJ/pE+ifOWKaO56ur+hZwJv9vvCT1mC6fsbVHlGPLQ75UrVYzUNYZLQDXXbu6UtoTo8gTfqmcWTDn5zAZ8EIXsABaMPdffIVEJsOnnQl8qgcB8Yx3wB/xQbI5XtyTUgAEfSHIFlhVdTuAp3riQ1c+NMeBvWq7gSsYIpz+EfTOnsORY6Falww9q5H7h/2w3GiCUB0E0OGbD2Vsbz+1rARm86N58ceSxy4SEgXg==
nimbus.sky.	172800	in	ns	edns1.ultradns.biz.
nimbus.sky.	172800	in	ns	edns1.ultradns.com.
nimbus.sky.	172800	in	ns	edns1.ultradns.net.
nimbus.sky.	172800	in	ns	edns1.ultradns.org.
nimbus.sky.	172800	in	ns	ns0.isp.sky.com.
nimbus.sky.	172800	in	ns	ns1.isp.sky.com.
nmss.sky.	172800	in	ns	edns1.ultradns.biz.
nmss.sky.	172800	in	ns	edns1.ultradns.com.
nmss.sky.	172800	in	ns	edns1.ultradns.net.
nmss.sky.	172800	in	ns	edns1.ultradns.org.
nmss.sky.	172800	in	ns	ns0.isp.sky.com.
nmss.sky.	172800	in	ns	ns1.isp.sky.com.
npottdc.sky.	172800	in	ns	asia2.akam.net.
npottdc.sky.	172800	in	ns	asia3.akam.net.
npottdc.sky.	172800	in	ns	eur6.akam.net.
npottdc.sky.	172800	in	ns	ns1-156.akam.net.
npottdc.sky.	172800	in	ns	ns1-42.akam.net.
npottdc.sky.	172800	in	ns	use1.akam.net.
npottdc.sky.	172800	in	ns	use2.akam.net.
npottdc.sky.	172800	in	ns	use9.akam.net.
oadsde.sky.	172800	in	ns	ns-1524.awsdns-62.org.
oadsde.sky.	172800	in	ns	ns-1655.awsdns-14.co.uk.
oadsde.sky.	172800	in	ns	ns-218.awsdns-27.com.
oadsde.sky.	172800	in	ns	ns-976.awsdns-58.net.
ops.sky.	172800	in	ns	edns1.ultradns.biz.
ops.sky.	172800	in	ns	edns1.ultradns.com.
ops.sky.	172800	in	ns	edns1.ultradns.net.
ops.sky.	172800	in	ns	edns1.ultradns.org.
ops.sky.	172800	in	ns	ns0.isp.sky.com.
ops.sky.	172800	in	ns	ns1.isp.sky.com.
ott.sky.	172800	in	ns	asia2.akam.net.
ott.sky.	172800	in	ns	asia3.akam.net.
ott.sky.	172800	in	ns	eur6.akam.net.
ott.sky.	172800	in	ns	ns1-156.akam.net.
ott.sky.	172800	in	ns	ns1-42.akam.net.
ott.sky.	172800	in	ns	use1.akam.net.
ott.sky.	172800	in	ns	use2.akam.net.
ott.sky.	172800	in	ns	use9.akam.net.
ottdc.sky.	172800	in	ns	asia2.akam.net.
ottdc.sky.	172800	in	ns	asia3.akam.net.
ottdc.sky.	172800	in	ns	eur6.akam.net.
ottdc.sky.	172800	in	ns	ns1-156.akam.net.
ottdc.sky.	172800	in	ns	ns1-42.akam.net.
ottdc.sky.	172800	in	ns	use1.akam.net.
ottdc.sky.	172800	in	ns	use2.akam.net.
