f.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
facetime.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
facetime.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
facetime.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
facetime.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
festo.xn--9dbq2a.	172800	in	ns	ns0.atvirtual.com.
festo.xn--9dbq2a.	172800	in	ns	ns1.atvirtual.com.
festo.xn--9dbq2a.	172800	in	ns	ns2.atvirtual.com.
fire.xn--9dbq2a.	172800	in	ns	nsgbr.comlaude.co.uk.
fire.xn--9dbq2a.	172800	in	ns	nssui.comlaude.ch.
fire.xn--9dbq2a.	172800	in	ns	nsusa.comlaude.net.
flcloud.xn--9dbq2a.	172800	in	ns	ns2.image-line.com.
flcloud.xn--9dbq2a.	172800	in	ns	ns3.image-line.com.
g.xn--9dbq2a.	172800	in	ns	ns1.101domain.com.
g.xn--9dbq2a.	172800	in	ns	ns2.101domain.com.
g.xn--9dbq2a.	172800	in	ns	ns5.101domain.com.
ggv.xn--9dbq2a.	172800	in	ns	ns1.101domain.com.
ggv.xn--9dbq2a.	172800	in	ns	ns2.101domain.com.
ggvc.xn--9dbq2a.	172800	in	ns	ns1.101domain.com.
ggvc.xn--9dbq2a.	172800	in	ns	ns2.101domain.com.
ggvcapital.xn--9dbq2a.	172800	in	ns	ns1.101domain.com.
ggvcapital.xn--9dbq2a.	172800	in	ns	ns2.101domain.com.
ghc7n39a9gmdfh1nrbhu6aktvbeq27c6.xn--9dbq2a.	86400	in	nsec3	1 1 0 - HQ2P1A55F98ESGNN2FJFOLECIPP7IUB6 NS DS RRSIG
ghc7n39a9gmdfh1nrbhu6aktvbeq27c6.xn--9dbq2a.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 1611 xn--9dbq2a. iQiY3vO3ZGA5KnQesJ62gW/um33p8MAAnhgbxowFdP20ZV/z+684qQDo9x+mUUVRGOf79+4n6LJOlSy+RChOTx1vT1PhLMXgRZsY21/2e1mpg2T/TIyUQq6PMlT3Bgoji3K9pO0ha2nkQe/+LmQnD3iluBAJKquyrLvwKRNVg54Fn1fw3ptWaB3WILng8R7dN1H1Xb+zoubjJvuTWXtyUw==
grimbergen.xn--9dbq2a.	172800	in	ns	ns1.brandshelter.com.
grimbergen.xn--9dbq2a.	172800	in	ns	ns2.brandshelter.de.
grimbergen.xn--9dbq2a.	172800	in	ns	ns3.brandshelter.info.
grimbergen.xn--9dbq2a.	172800	in	ns	ns4.brandshelter.net.
grimbergen.xn--9dbq2a.	172800	in	ns	ns5.brandshelter.us.
h.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
h.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
hao123.xn--9dbq2a.	172800	in	ns	ns1.brandshelter.com.
hao123.xn--9dbq2a.	172800	in	ns	ns2.brandshelter.de.
hao123.xn--9dbq2a.	172800	in	ns	ns3.brandshelter.info.
hao123.xn--9dbq2a.	172800	in	ns	ns4.brandshelter.net.
hao123.xn--9dbq2a.	172800	in	ns	ns5.brandshelter.us.
homepod.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
homepod.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
homepod.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
homepod.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
hq2p1a55f98esgnn2fjfolecipp7iub6.xn--9dbq2a.	86400	in	nsec3	1 1 0 - NSLF86HBI30QQ3G7956PCQPRL3QB8I9G NS DS RRSIG
hq2p1a55f98esgnn2fjfolecipp7iub6.xn--9dbq2a.	86400	in	rrsig	NSEC3 8 2 86400 20250901142408 20250825142408 1611 xn--9dbq2a. BEW8G94YcdKWgxPaaKvKYYvvZKfZnii7WuB6+DiBbkFQMOPJqLN4WsNj1QeZtlNbkaCgQ3L1pkikHH0TpLSZXK7+3VRRy1Ab1oH2v5dP8XeFcmYXpwXeuc7MNLSjS+1UQ/yAmxeBRSZBKlNHbzl4jNTBRDYdbk8WWbftMQt6XHlTBwupk64PVsavNSDLDAIkdsEGNVhcjVTQhlXQRHMOBA==
i.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
i.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
iasia88.xn--9dbq2a.	172800	in	ns	ns1cwy.name.com.
iasia88.xn--9dbq2a.	172800	in	ns	ns2kqz.name.com.
iasia88.xn--9dbq2a.	172800	in	ns	ns3gmv.name.com.
iasia88.xn--9dbq2a.	172800	in	ns	ns4fmw.name.com.
ibooks.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
ibooks.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
ibooks.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
ibooks.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
ibooksstore.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
ibooksstore.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
ibooksstore.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
ibooksstore.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
icloud.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
icloud.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
icloud.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
icloud.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
ikea.xn--9dbq2a.	172800	in	ns	dns1.cscdns.net.
ikea.xn--9dbq2a.	172800	in	ns	dns2.cscdns.net.
imac.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
imac.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
imac.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
imac.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
ipad.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
ipad.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
ipad.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
ipad.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
iphone.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
iphone.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
iphone.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
iphone.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
ipod.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
ipod.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
ipod.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
ipod.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
itunes.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
itunes.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
itunes.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
itunes.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
itunesstore.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
itunesstore.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
itunesstore.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
itunesstore.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
j.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
j.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
k.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
k.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
kilat77.xn--9dbq2a.	172800	in	ns	bethany.ns.cloudflare.com.
kilat77.xn--9dbq2a.	172800	in	ns	keaton.ns.cloudflare.com.
kindle.xn--9dbq2a.	172800	in	ns	nsgbr.comlaude.co.uk.
kindle.xn--9dbq2a.	172800	in	ns	nssui.comlaude.ch.
kindle.xn--9dbq2a.	172800	in	ns	nsusa.comlaude.net.
kpmg.xn--9dbq2a.	172800	in	ns	ns10.go.kpmg.com.
kpmg.xn--9dbq2a.	172800	in	ns	ns20.go.kpmg.com.
kpmg.xn--9dbq2a.	172800	in	ns	ns30.go.kpmg.com.
l.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
l.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
lal.xn--9dbq2a.	172800	in	ns	ns1.eurodns.com.
lal.xn--9dbq2a.	172800	in	ns	ns2.eurodns.com.
lal.xn--9dbq2a.	172800	in	ns	ns3.eurodns.com.
lal.xn--9dbq2a.	172800	in	ns	ns4.eurodns.com.
linco.xn--9dbq2a.	172800	in	ns	ns1.lemarit.de.
linco.xn--9dbq2a.	172800	in	ns	ns1.lemarit.net.
linco.xn--9dbq2a.	172800	in	ns	ns2.lemarit.de.
linco.xn--9dbq2a.	172800	in	ns	ns2.lemarit.net.
linco.xn--9dbq2a.	172800	in	ns	ns3.lemarit.de.
m.xn--9dbq2a.	172800	in	ns	ns1.101domain.com.
m.xn--9dbq2a.	172800	in	ns	ns2.101domain.com.
m.xn--9dbq2a.	172800	in	ns	ns5.101domain.com.
mac.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
mac.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
mac.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
mac.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
macbook.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
macbook.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
macbook.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
macbook.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
macintosh.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
macintosh.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
macintosh.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
macintosh.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
macos.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
macos.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
macos.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
macos.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
mercedes-benz.xn--9dbq2a.	172800	in	ns	ns1.corpinter.net.
mercedes-benz.xn--9dbq2a.	172800	in	ns	ns2.corpinter.de.
mercedes-benz.xn--9dbq2a.	172800	in	ns	ns3.corpinter.net.
mercedes-benz.xn--9dbq2a.	172800	in	ns	ns4.corpinter.de.
merck.xn--9dbq2a.	172800	in	ns	ns1.brandshelter.com.
merck.xn--9dbq2a.	172800	in	ns	ns2.brandshelter.de.
merck.xn--9dbq2a.	172800	in	ns	ns3.brandshelter.info.
merck.xn--9dbq2a.	172800	in	ns	ns4.brandshelter.net.
merck.xn--9dbq2a.	172800	in	ns	ns5.brandshelter.us.
mosaic.xn--9dbq2a.	172800	in	ns	ns1.eurodns.com.
mosaic.xn--9dbq2a.	172800	in	ns	ns2.eurodns.com.
mosaic.xn--9dbq2a.	172800	in	ns	ns3.eurodns.com.
mosaic.xn--9dbq2a.	172800	in	ns	ns4.eurodns.com.
n.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
n.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
