0180368058.beauty.	3600	in	ns	launch2.spaceship.net.
0180368058.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. iMfKHmT7iwdp9r8iIXeCP0jc2A+UCqoweEnUf86GMixVPLThtzRzwowEa7KZPlSq0WjtVSb1ax/HJkRJXskBqjzMkDTKFgoc/YLpZWBVzmxLToLT2wtSQcHe8joAblzcUksKBi2X6MpEaSOMJHy9NdGLCQD6kEyJ2OA4FyECtJ8GycQ7xyqxStnvteFSo74Eos0YcWhFrOyM1VYWZEQ02A==
01kitaslot777.beauty.	3600	in	ns	lady.ns.cloudflare.com.
01kitaslot777.beauty.	3600	in	ns	norm.ns.cloudflare.com.
01uj7mnlj6h5o2c3uvj8a525jfcmshqd.beauty.	900	in	nsec3	1 1 0 - 020HGOK1FT99SEJAP60KULA22JJDT9SJ NS DS RRSIG
01uj7mnlj6h5o2c3uvj8a525jfcmshqd.beauty.	900	in	rrsig	NSEC3 8 2 900 20251031150712 20251001133712 39090 beauty. T9jk0nffp/p/IaDDFykilQEmzTZnN4BpRRfWtqY/u92H8Naf1RMTUBaN7hBOrGxfoS6TGCe1U5lDme3SUDZTYkN8YSZgDKAO5tx4s3lrBzhXr50Tsv+nixKtfmL/1eWf/Y7+dYTo2ZJt3C5HfHrSijmhuwQTsTO69DO5AK33VPpyqYfXWUSa/HZlMCDYP9B9eShgU7OXgZ3Q+tSZ6uxl4g==
02.beauty.	3600	in	ns	curitiba.ns.porkbun.com.
02.beauty.	3600	in	ns	fortaleza.ns.porkbun.com.
02.beauty.	3600	in	ns	maceio.ns.porkbun.com.
02.beauty.	3600	in	ns	salvador.ns.porkbun.com.
020hgok1ft99sejap60kula22jjdt9sj.beauty.	900	in	nsec3	1 1 0 - 02NO8IG90RG496J0K5M4S4249H1I30UC NS DS RRSIG
020hgok1ft99sejap60kula22jjdt9sj.beauty.	900	in	rrsig	NSEC3 8 2 900 20251031150712 20251001133712 39090 beauty. bO4PwjQXUTlClSdxLQ0+8zshjBWZDhO+hvtKERHrPq6SEko1+mvvnhbQQ5kBD6Vkb4APhUnEIr5hWt6TQ1jjZjnbGWTE35KbiC4Hz2lcrESCdFuZBb6iWnUmZi+Rlqb0hemllRyVNA0WbLk8V4KNKo5UkzcT+19JUsLyTrOnlqvmyXddCXg2jOR603cJ+I/NpNazBq7LI0o3ZqAn5kRTTw==
021.beauty.	3600	in	ns	ns1.hostiran.net.
021.beauty.	3600	in	ns	ns2.hostiran.net.
02203476.beauty.	3600	in	ds	35232 13 2 20D4CFE86074A7C8D4240F928386C287A015DCFE8A783B9283C249BDE7163E64
02203476.beauty.	3600	in	ns	launch1.spaceship.net.
02203476.beauty.	3600	in	ns	launch2.spaceship.net.
02203476.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. cflk/9PmwEIDgvo5JynaBj83O5UDzXqC89NVO46GI+OLACJVyK2LpSyi9VH4lCJD9aRPC4Vx6aSPFsAwnnFcjYzvyyM1Kt6DSWhwQIIDR8Vwp2B1dTtandAZ3OlWiuSMtaGb1RJiRe0dLD+39BaiRqaqUHgWyqfFl+lYvIhgzzQ6BqiOrUBBnMHrqS5u5gQAhEcAZfWEzx/iq0X5Fu1cMg==
02448227.beauty.	3600	in	ds	53064 13 2 B1B03F7A6D904F4E0FDBDC31F79381128FA20D160E4BB7DECCFF7FF6147A6215
02448227.beauty.	3600	in	ns	launch1.spaceship.net.
02448227.beauty.	3600	in	ns	launch2.spaceship.net.
02448227.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. ex0FrTV4TsWfvm0eQttOzt0ji2XTv41zo2iCIkpHN0hgGTAZH7FZkr7zXDxSlvbG73Vk3Zf9jwMoGY0LS1AQRV9r429Cq/N11r+udz2MtH20AggiyVMeiUIeK8mo7LgvIduF1bDAYXqthrSMMqtxQBz/lssj30+Xn81UamkRznU+xfnST5f7jIZsvqmlz+sDJGgbVe+b2Hkcoiiq/Hd6Rg==
0250422647.beauty.	3600	in	ds	63021 13 2 3F5223246F865AA7538D84E7CD47F2516A1D801FB0FA8F01380A0B131FFBC15C
0250422647.beauty.	3600	in	ns	launch1.spaceship.net.
0250422647.beauty.	3600	in	ns	launch2.spaceship.net.
0250422647.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. pXu5D/CZB8Jqo0aoglUa5/FSMj9OFjxnFp2p1cCK+CrxWEIRbmmrG4NUSUo5c0Y5l+gC3uGXqzkGqtq88G4Mzr4gvCmLAzVRRIJZEE0BaiWdYj1z7UV4wczwjJLVTXawWkSYd7UVOtKcDqmyerb0WoysEKmwFupWW5aZ8JLK9DBYa0ZDcrBt690LAwq4eymXkLEiEGmuYWrfozSYEYiOXA==
0270909093.beauty.	3600	in	ds	19008 13 2 8AB14C21FFDEBE381CCE9609B035197D43F9070D111D03C6D80DFDDEDFC829DF
0270909093.beauty.	3600	in	ns	launch1.spaceship.net.
0270909093.beauty.	3600	in	ns	launch2.spaceship.net.
0270909093.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. beTZ1nnr2sLFUyDhmXBOtmY3+6CLTkmdu2uCR1sWu+2Z28EIhopV4K52Ua233rrjI7OOhNF2XpbuFlCK3n0xN31MRd+os0qFb8C9203Q1zW/+hpqonlHhTNyJSvLJq+sDYNhiGc0Qd1zZY+vQbEID+sZJ5tN1D4MXHZ/OxpBiFpu8vSXi5K6G+PYaUGk2eGZrFnsAUFQfshQKgSplh88MQ==
0279821472.beauty.	3600	in	ds	60048 13 2 6639808F2D056EB1C97924963FCDCE80CEC3FB79681A8ED6FBD9CE167DFC8B26
0279821472.beauty.	3600	in	ns	launch1.spaceship.net.
0279821472.beauty.	3600	in	ns	launch2.spaceship.net.
0279821472.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. QMf32D1cum3lNKN3kKU2aFk8x+oGHwgQWTdRvV7sJtL2HzjYsneIzQ3phrJp45TV6/VholncX7R+E80CqwdNvPJ8MQ0PVd45kHzQTCTO8y72qkXhMkgHPGrUQ8FI0RmQneBUgpp612RQSnnCOtbe0Y8BjQ3vuTIPuZvOVYvKnPBl1/03MasilrNoH5u7o5fd6logNszasZWwlLNgdXVp9Q==
0292955510.beauty.	3600	in	ds	60525 13 2 843585FDFF0DF628A86AEF3FF8D79830E3F71AB692B025038D73B06C1A3F6FC4
0292955510.beauty.	3600	in	ns	launch1.spaceship.net.
0292955510.beauty.	3600	in	ns	launch2.spaceship.net.
