0jc3v1qgtio9r5b6hvch4ntjlbp6l2fp.ventures.	3600	in	nsec3	1 1 0 73 0JGDTQ6K3A3E5FO8U3ARBB17439AT1B7 NS DS RRSIG
0jc3v1qgtio9r5b6hvch4ntjlbp6l2fp.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. DEYnaNyrbLDO3lTOBs755qtBGWTiH8Rf6XPDLKPs6yIFe53d+ar7Hmo1Eqj/yC1GYRVJIIlx/ClokVIKhJo+TawdFaf1MydinwTAPWG7wv5mzoVUejt/INKyqbHQezD4wq0MoMMaDiMt59hs7rkL3pyvkY6trJfz6ceb4fB2DZU=
0jgdtq6k3a3e5fo8u3arbb17439at1b7.ventures.	3600	in	nsec3	1 1 0 73 0KREKT1SR9TG4MIP3LM7LP29C6QAQENL NS DS RRSIG
0jgdtq6k3a3e5fo8u3arbb17439at1b7.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. ncE0ipDlSjCGKiawo9e0fuLcM5N4b5Uhmwkhl0jTRCtN+2oWdPvrQkkKTxxicdWeyml3uWtu916cxt0ueM1mhJBcgB+Qo8MQ6fJl5HMa9hdGZauEv/9Nqag8Z6CZMXZuRPdkEz+xK5+TwwGYGPXWKF+KVw4J8/VtJxOLv0QxWhU=
0k9.ventures.	3600	in	ns	finley.ns.cloudflare.com.
0k9.ventures.	3600	in	ns	sierra.ns.cloudflare.com.
0krekt1sr9tg4mip3lm7lp29c6qaqenl.ventures.	3600	in	nsec3	1 1 0 73 0LR24S6SLNITIOF574A0C7SCURQ41J86 NS DS RRSIG
0krekt1sr9tg4mip3lm7lp29c6qaqenl.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. A6KrE/s2HZJ8qfFaz4QJNNpfPm0ZDDZcH4ONI0MFYYz+QvAE/XWSC0EQ3qnq/a3v6vb19oEuYa1402342Lj+SlNe/2SbLDYFEhKz6E/d+c6NkuTQd9dGcN24voqi95YI4FrDWqf6mUck0fws7u6HM6lFGqZecKw8xksUJp98Qqo=
0kvip.ventures.	3600	in	ns	finley.ns.cloudflare.com.
0kvip.ventures.	3600	in	ns	sierra.ns.cloudflare.com.
0lr24s6slnitiof574a0c7scurq41j86.ventures.	3600	in	nsec3	1 1 0 73 0N968MAEVI6KE2D7K9KG55QVTUVMPAGF NS DS RRSIG
0lr24s6slnitiof574a0c7scurq41j86.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. uFHOK5jyYuMzg7n4JvLjqczAi/KQF+1Uq7CiUM7Fg1hERrIjuMRNF7ZNwnRO6fSlqT360XT8sveLD9HF+CAW+/npt5HjuvQ0iJaUCZ9kV8wZBbW2PEHFIUdnUKXPD0vKlEfWc9QRZeDrKTX40XI6PGOL/MUxHTQ21ENsGtaBOxs=
0n968maevi6ke2d7k9kg55qvtuvmpagf.ventures.	3600	in	nsec3	1 1 0 73 0OG6R6IPHTT9HCF8JNPG4RQH3BMD1T74 NS DS RRSIG
0n968maevi6ke2d7k9kg55qvtuvmpagf.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. Ux3ci1/QSqUv2Y9XpF4mndGkcmwU8towl0HwmW6u69YtFMgdD7568wImwIp93Y4NwLDdGzZzHN8ky6bBAwWCxcgqMU4YOv1KGecFaK/tY7PBQ1UvIzXCPxuwS0GBoVsdFnr38f1uPjHLCAKIYi8NZF5HMMx4OAmaHWgaL2jZhZY=
0og6r6iphtt9hcf8jnpg4rqh3bmd1t74.ventures.	3600	in	nsec3	1 1 0 73 0P7V0QMHPGOLV0AJ4OMRB2ROLVC3GMD0 NS DS RRSIG
0og6r6iphtt9hcf8jnpg4rqh3bmd1t74.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. h+zWza2DPvDS0GZ9aKOUtEb9aLzhE2++MWPE1gPPd29tpTIhN42kQ2hDY3G4vb/dG4W9lBnJwnphV5rmrfgqNUf6PrSwXHu0P/Pzaxy93iM2Yv8mp6Jed0o33Sv1HLGZoCSZA5Mw/guoqhO6gukH78oj9QCTtamTOU6JgAWnk4A=
0p7v0qmhpgolv0aj4omrb2rolvc3gmd0.ventures.	3600	in	nsec3	1 1 0 73 0PA9DUBHSC1QA3URO4A9NKLSLFF5JR94 NS DS RRSIG
