04mj22jcbo0hn41rr6un159orfsie95q.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 04R36TLP256QFEB073RLJBM3M6DS0FO1 NS
04mj22jcbo0hn41rr6un159orfsie95q.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. Kj0Ey0Nvha03hqJQsbUIBi0Bwc7a65cC3NSFMkLa0mGmofigf3Q1ePWubwtn8IP1sulZ5+R5x+plhqr/wJ+ksBztdU078lRvtFpCTYDvUb2he5Y5RTmZYYINRLvFj+TP71KP0z0b8vjo+dLHEDetAc4OdllmKLq/V/bc6na3hIw=
04r36tlp256qfeb073rljbm3m6ds0fo1.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 051TLOTD3JOAIJHEHJ2AFU12JBN5I0QC NS
04r36tlp256qfeb073rljbm3m6ds0fo1.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. E0pKPBK2jFQ9oiIe45BHl6PB4fvYmucgGfQwv0HzZG99oslFaJzFfCU56WWOoubQdQ/H0LX1Wsmr9mwW1Y2BXEMr5CjoSdKTaimp+Ztd90YhFL5XNo8Ha0ksnUByPnyiLrX0B+kqlhrYPs3w9nOFa0bYd05UuvuNLRZ9pcgnY0A=
051tlotd3joaijhehj2afu12jbn5i0qc.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 05BSRF7HMMMNTRSKJA76RARP81EQ4DLV NS
051tlotd3joaijhehj2afu12jbn5i0qc.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. cY9BixU9UQkRp0ZLGXKUgIr0KTMTxGTttxeKwb9zI7haFA8TmaRZqXMU/lFiL8B269fykJVngakqXUvi5z8chE2IxUljk/zDONAQS34SgWPdB22EQMgy0z24Lpt0fe4rWzLnqfPUt0wqa42s6gEDTSHNQNIYqOvpKqftgaFqnW4=
05224.mov.	10800	in	ns	n1.xundns.com.
05224.mov.	10800	in	ns	n2.xundns.com.
05718.mov.	10800	in	ns	n1.xundns.com.
05718.mov.	10800	in	ns	n2.xundns.com.
05bsrf7hmmmntrskja76rarp81eq4dlv.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 05K9SN2V2T6AI9KR70B0IUKO58NTP2VU NS
05bsrf7hmmmntrskja76rarp81eq4dlv.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. UVR/X2uaIQ59Cw3GFxeEH7S1zuAaCbgPnaY+f4qoOTBXGT4xIRJOL1pqCfYgEXOTJJU2O+iAtvjLomZ/h/r/p+8b9F3jvG3JGamwbn4w2GjYPACZcfKcp/nUWmImMnIKaE9dUWmCkkgVm7q7ZJWaMtsawetFD5xyY2iDCKQCnmI=
05k9sn2v2t6ai9kr70b0iuko58ntp2vu.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 05QV8OBAM0VPV1K2K133A1JVTF8156OV NS
05k9sn2v2t6ai9kr70b0iuko58ntp2vu.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. E8RyDq+0DmoYuiuxXMJOU4UI8lWiyClTmK9VJZxS9qh2H3QYESkNixZUkD92g2HV6AxLqBeex2w/mmRvpisNrbbfQtTIggQ+6TYWAeT4KCaWOFOvfkMwnoeElZVy7Yb+VMCjs50fqAbGxaKpKAP5gSzUvLAoC3uk2j4vd/rMpjY=
05qv8obam0vpv1k2k133a1jvtf8156ov.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 06807AES2GC60GEU1SCQP06SR374PITE NS DS RRSIG
