02676.lgbt.	3600	in	ns	ns2.dnsip.com.
02683.lgbt.	3600	in	ns	n1.xundns.com.
02683.lgbt.	3600	in	ns	n2.xundns.com.
02692.lgbt.	3600	in	ns	n1.xundns.com.
02692.lgbt.	3600	in	ns	n2.xundns.com.
02732.lgbt.	3600	in	ns	ns1.dyna-ns.net.
02732.lgbt.	3600	in	ns	ns2.dyna-ns.net.
02759.lgbt.	3600	in	ns	ns1.dnsip.com.
02759.lgbt.	3600	in	ns	ns2.dnsip.com.
02809.lgbt.	3600	in	ns	n1.xundns.com.
02809.lgbt.	3600	in	ns	n2.xundns.com.
028106.lgbt.	3600	in	ns	n1.xundns.com.
028106.lgbt.	3600	in	ns	n2.xundns.com.
028107.lgbt.	3600	in	ns	n1.xundns.com.
028107.lgbt.	3600	in	ns	n2.xundns.com.
028240.lgbt.	3600	in	ns	ns1.1233dns.com.
028240.lgbt.	3600	in	ns	ns2.951dns.com.
02826.lgbt.	3600	in	ns	donald.ns.cloudflare.com.
02826.lgbt.	3600	in	ns	pam.ns.cloudflare.com.
02831.lgbt.	3600	in	ns	grannbo.ns.cloudflare.com.
02831.lgbt.	3600	in	ns	norm.ns.cloudflare.com.
02835.lgbt.	3600	in	ns	ns1.dnsip.com.
02835.lgbt.	3600	in	ns	ns2.dnsip.com.
02878.lgbt.	3600	in	ns	ns1.dnsip.com.
02878.lgbt.	3600	in	ns	ns2.dnsip.com.
02898.lgbt.	3600	in	ns	n1.xundns.com.
02898.lgbt.	3600	in	ns	n2.xundns.com.
02902.lgbt.	3600	in	ns	ns1.dns.com.
02902.lgbt.	3600	in	ns	ns2.dns.com.
02915.lgbt.	3600	in	ns	ns1.dnsip.com.
02915.lgbt.	3600	in	ns	ns2.dnsip.com.
02948.lgbt.	3600	in	ns	ns1.dns.com.
02948.lgbt.	3600	in	ns	ns2.dns.com.
02949.lgbt.	3600	in	ns	n1.xundns.com.
02949.lgbt.	3600	in	ns	n2.xundns.com.
02979.lgbt.	3600	in	ns	ns1.dnsip.com.
02979.lgbt.	3600	in	ns	ns2.dnsip.com.
03000.lgbt.	3600	in	ns	n1.xundns.com.
03000.lgbt.	3600	in	ns	n2.xundns.com.
030030.lgbt.	3600	in	ns	irena.ns.cloudflare.com.
030030.lgbt.	3600	in	ns	yisroel.ns.cloudflare.com.
030031.lgbt.	3600	in	ns	irena.ns.cloudflare.com.
030031.lgbt.	3600	in	ns	yisroel.ns.cloudflare.com.
030032.lgbt.	3600	in	ns	irena.ns.cloudflare.com.
030032.lgbt.	3600	in	ns	yisroel.ns.cloudflare.com.
030033.lgbt.	3600	in	ns	irena.ns.cloudflare.com.
030033.lgbt.	3600	in	ns	yisroel.ns.cloudflare.com.
030034.lgbt.	3600	in	ns	irena.ns.cloudflare.com.
030034.lgbt.	3600	in	ns	yisroel.ns.cloudflare.com.
030035.lgbt.	3600	in	ns	irena.ns.cloudflare.com.
030035.lgbt.	3600	in	ns	yisroel.ns.cloudflare.com.
03005.lgbt.	3600	in	ns	ns1.dns.com.
03005.lgbt.	3600	in	ns	ns2.dns.com.
030127.lgbt.	3600	in	ns	n1.xundns.com.
030127.lgbt.	3600	in	ns	n2.xundns.com.
03025.lgbt.	3600	in	ns	ns1.dnsip.com.
