1tf962ktp6ii24r7qsvs75icvd2df0vg.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. Cma+Nqlcj4OXbd55WjeUhBTKse5RLAU838SHBcNkB8k+U3S0MTdHWU5QXv0YjM1vLpthUAcx9f+S8hq4bepKSCK4k+BiFCMMU7L/JXOmXq5L8G2MmUiNT8ryPHnwt6HmNJfgU1MYB2qOOYy+q9etoc4UzuGIdjW4Bp3vYaX/lg8=
1v1.fish.	3600	in	ns	curitiba.ns.porkbun.com.
1v1.fish.	3600	in	ns	fortaleza.ns.porkbun.com.
1v1.fish.	3600	in	ns	maceio.ns.porkbun.com.
1v1.fish.	3600	in	ns	salvador.ns.porkbun.com.
1vfo0p2rh76kq04ngbltm9fp2bskqana.fish.	3600	in	nsec3	1 1 0 73 21DLT45QO0ODDTKJEJ0HTDQO93Q6RVJ3 NS DS RRSIG
1vfo0p2rh76kq04ngbltm9fp2bskqana.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. UhBoGaUZD+uMd/usNZ1lNfjZF187XelLDVLKlsxAfZeN0Iyr2HJkbEqUvYPVabQzZ2+E1uiRs1x72xheajxsZOKrUr1TryOev9LLqQG9eoS3xYqtk+DbvGodZUSsVjm8CoTf5yucYyjnDWx7Xdg1xKEVRBzsXy+u46s1xX6/8+s=
1w.fish.	3600	in	ns	ns1.pananames.com.
1w.fish.	3600	in	ns	ns2.pananames.com.
1w.fish.	3600	in	ns	ns3.pananames.com.
1w.fish.	3600	in	ns	ns4.pananames.com.
2.fish.	3600	in	ns	ns15.domaincontrol.com.
2.fish.	3600	in	ns	ns16.domaincontrol.com.
20k.fish.	3600	in	ns	ns1.hover.com.
20k.fish.	3600	in	ns	ns2.hover.com.
21dlt45qo0oddtkjej0htdqo93q6rvj3.fish.	3600	in	nsec3	1 1 0 73 2209E3NLAP84O1FRS3L7A8HDR0S9G1AK NS DS RRSIG
