1v1.fail.	3600	in	ns	ns-1118.awsdns-11.org.
1v1.fail.	3600	in	ns	ns-1632.awsdns-12.co.uk.
1v1.fail.	3600	in	ns	ns-448.awsdns-56.com.
1v1.fail.	3600	in	ns	ns-621.awsdns-13.net.
1w.fail.	3600	in	ns	ns1.pananames.com.
1w.fail.	3600	in	ns	ns2.pananames.com.
1w.fail.	3600	in	ns	ns3.pananames.com.
1w.fail.	3600	in	ns	ns4.pananames.com.
1win.fail.	3600	in	ns	ns1.pananames.com.
1win.fail.	3600	in	ns	ns2.pananames.com.
1win.fail.	3600	in	ns	ns3.pananames.com.
1win.fail.	3600	in	ns	ns4.pananames.com.
1xbet.fail.	3600	in	ns	ns1.dnsres.net.
1xbet.fail.	3600	in	ns	ns2.dnsres.net.
1xbet.fail.	3600	in	ns	ns3.dnsres.net.
2.fail.	3600	in	ns	ns.ii1.net.
2.fail.	3600	in	ns	ns2.ii1.net.
2.fail.	3600	in	ns	ns3.ii1.net.
235kj3h689fl7ijk09923431s4bsng77.fail.	3600	in	nsec3	1 1 0 73 242TDKO44E9TBO47PECBAUQHKT71OP4J NS DS RRSIG
235kj3h689fl7ijk09923431s4bsng77.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. ldoXR3bXJblRaG5r9a0OSfDSVf9PXxeky9mRbkXY6jcFR6uZPo4nEckIC/fKe+RNJyXSIc8I7OjTJ0hSzl5+qid/ErMCeaUKVxn3+4ZLQayEnNI6rQiVE6NFgiJ3jxzBrRku9guy8dnabZrR8EitRyxM4S8b+m+86k3U9pqoWZw=
23win.fail.	3600	in	ns	brynne.ns.cloudflare.com.
23win.fail.	3600	in	ns	curt.ns.cloudflare.com.
242tdko44e9tbo47pecbauqhkt71op4j.fail.	3600	in	nsec3	1 1 0 73 247TLHIIFOUMQ27LLBRPL8R1S5CDFD06 NS DS RRSIG
242tdko44e9tbo47pecbauqhkt71op4j.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. h079QZopQC9ykYRQ7k4CI4QfIw1AmBvIBpbpX4l/RqOvX6B2gjfYhd2zAF+WpvXbeDNGAOKT3Q4KhjazflFg9t6wl9yoZLXSJS8p9aOp6BeRPvSiZWJ4erng5kpCEiXCDtfqToenXP4WEFvR5De+4HRsdAY31dW28yDw07CGWBY=
247tlhiifoumq27llbrpl8r1s5cdfd06.fail.	3600	in	nsec3	1 1 0 73 24E52D2555VS6CIE04VQ778FQ10EL7F0 NS DS RRSIG
247tlhiifoumq27llbrpl8r1s5cdfd06.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. Y4ns0RCUXc6zunT1KRLKPUSbS5ZHqQKCIflAUVOYUCkK8t9M1euTxa94H4ZgpRs3ZFcXCQunXB7vikpUDlZmc3H1r5Hl3Df2UekRBBJ9dgGFR25db3VqS/x5moJqtmdMppintesMQmo8KIy/dzXjTgiqXNHa0G9xNUuA/8PLhk8=
24e52d2555vs6cie04vq778fq10el7f0.fail.	3600	in	nsec3	1 1 0 73 25JV1HC6JT95GJCTTJGNJ8I90ODL63KG NS DS RRSIG
24e52d2555vs6cie04vq778fq10el7f0.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. O+7o729SiR+gZBIlcQVvrY653ejtE+Le+1rp40Fxm7Jd2Vt1RAq/Q/0s1qmvBUqVmCBrQ3ckpUqJ/CFbiDpQsPd8vVlDnGi17QoAGGRVlRXINo3sZ22cCEyEP0Jf+wTP9JwjhIVyUNZT2OH09htdvNagzym41L4t0g8TN9pUcdk=
25jv1hc6jt95gjcttjgnj8i90odl63kg.fail.	3600	in	nsec3	1 1 0 73 291E2B2N0QRD4SDOI8QFL6N963LERIM3 NS DS RRSIG
25jv1hc6jt95gjcttjgnj8i90odl63kg.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. LPBjVnx4YSi57pAKa3dlVP4+cq5bOFSh6oToiHFeWtvWhny49nol0zGsUx2iZFm8VKx5blVOtjVMowK3iXNvw8tOf+M4/xpBD5HxP9Pb7HkZjI8764BTjdu8gQnbkaMtYZu18aeUY0xPdtql106gbMf6x7dc0VmNJ5VXD2eHV5E=
291e2b2n0qrd4sdoi8qfl6n963lerim3.fail.	3600	in	nsec3	1 1 0 73 2JENE2VAI119U1IP0T199BQP25OCE0L5 NS DS RRSIG
291e2b2n0qrd4sdoi8qfl6n963lerim3.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. kNwuuG2a7Q02AnwXsJq8tfYDIxqof3Ea++c+BqDG6IWFZx6t+P9kAF0yjgSV7K0ORP81kNosDjbfeMcBvuZOkvoTjwohkPr89204SH19q89l9m6se0453zHnQhT0fSJhXE/QRmIVpH+FSmPPg0/oXB0XuRqqjjselZEHmCDE3/s=
2b2.fail.	3600	in	ns	ns-cloud-a1.googledomains.com.
2b2.fail.	3600	in	ns	ns-cloud-a2.googledomains.com.
2b2.fail.	3600	in	ns	ns-cloud-a3.googledomains.com.
2b2.fail.	3600	in	ns	ns-cloud-a4.googledomains.com.
2big2.fail.	3600	in	ns	dns1.registrar-servers.com.
2big2.fail.	3600	in	ns	dns2.registrar-servers.com.
