3971d6tsu5hnquu0o2fu860jasn27p0u.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142406 20250825142406 21585 xn--tckwe. Kz29kNCr6LgSVeNwIlCxp0Ko1N92H0I8GYt4p4aJwSSuiHqtR5ccaimI3ocbbO8ctXZVKrwWGy5PSEng/kb70Nk3kp+Pu9L+PQRTrHgqV1apmJ1RQtP40yume0loPr4+sI/KND2bEkXKIkDZA8QEU/j3xoHTt4sopNeLRRaFsB1J1b1I2pCvXjmu9HofFyXsLOAcw5SwGFexBiHOKxV+wA==
3quv0ru8dgf3im88tb0d9oaje8j9srjp.xn--tckwe.	86400	in	nsec3	1 1 0 - 4GR5DTI7NHOI8S7EI5I0NESS77LFLEN6 NS DS RRSIG
3quv0ru8dgf3im88tb0d9oaje8j9srjp.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 21585 xn--tckwe. VvjTGcwvGf1uRt2O/uROKkJdhORLpPOKOYIpestzbbuKxvDv/JqXutO8PWlR4vz5phok9mNGjLv9VIXQoM60eGL6eJxgGpu9IYqnvrzP6YIKrqElthy6o8HLCmhUU7lPMFl/6EFKjMqDLMXxPHucrSkDxRcE+fgQrwse8+qLZfo5OFEEv0esh1T7tKiBDdlXBmC9GhKPTfQ5XtrKFNajxg==
41615526.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
41615526.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4243036.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4243036.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4458906.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4458906.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
460.xn--tckwe.	172800	in	ns	01.dnsv.jp.
460.xn--tckwe.	172800	in	ns	02.dnsv.jp.
4649072.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4649072.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
46576270.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
46576270.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4844690.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4844690.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4851524.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4851524.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4877189.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4877189.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4877282.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4877282.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4ajstb5.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
4ajstb5.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
4gr5dti7nhoi8s7ei5i0ness77lflen6.xn--tckwe.	86400	in	nsec3	1 1 0 - 4TKK78DIGHJ1OHSRLKHQJJBAKL6UK5RA NS DS RRSIG
4gr5dti7nhoi8s7ei5i0ness77lflen6.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 21585 xn--tckwe. AQDHz6IhRASoTFGtkrrU1yK3xQyaML8zT6OQCxDLD+AFy3akjbShNfDg6QGzETzqKAsHxLK14YT5aYZjThNcPcZkEPos+9mU3zRh6PpinXkEu+VeEHxvNIy9L2o4zHS4jlajrLV5K7DRiUum/4QOSC2+pE8LZkOdwKvWbuIsf5TzgXw7eFN84Gi3MWDRiDqMcudeFZT+w2grC0F91rVq0Q==
4tkk78dighj1ohsrlkhqjjbakl6uk5ra.xn--tckwe.	86400	in	nsec3	1 1 0 - 4TTJ0GFLKUDNBU1306MENCP3RESND8GK NS DS RRSIG
4tkk78dighj1ohsrlkhqjjbakl6uk5ra.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142406 20250825142406 21585 xn--tckwe. iBxMkqHLjnmOw2AxXL+/1sNG1+k9y+NqOYE4nw/UIGMqZSL+WM+TuPFz+tI7AvpR6iyyIg21FCYqzRrRsxEKI42aNcfQehactlIR4xOxc4h76aVXaWyfUYAH2ewaRAGzlar9eYQjMSkIjawSRECx8mQNlZCAi918EgxY9cP2BSMtxqruKK1SuglEbCFAiPrEYnsLm6qMbbOSzHxMYuD30g==
4ttj0gflkudnbu1306mencp3resnd8gk.xn--tckwe.	86400	in	nsec3	1 1 0 - 6F4GCVM169LAOJLK13P0EG78SE994V3B NS DS RRSIG
4ttj0gflkudnbu1306mencp3resnd8gk.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 21585 xn--tckwe. M9rAuEoHN6tQMKWQ6yRPf+cm7RmZOR8i3BS2njF4228M8HTQtPM21NK23LRrBeE2SPrlqB+t6fN4phaYKQ8Ybhcw2EwZr/Q18XcmrL9QIs1vSvEct8z7hwYtUpcUGE754x/5DlTJlTqy8dTymBe0IEEaUUPhBcj4hxq02h3LXKj/p/DKQk4vx/5Rmr9w4DyxqtG7hwS53Wj2Pf9N0cjIEw==
5.xn--tckwe.	172800	in	ns	ns1.101domain.com.
5.xn--tckwe.	172800	in	ns	ns2.101domain.com.
5.xn--tckwe.	172800	in	ns	ns5.101domain.com.
5002611.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
5002611.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
5063246.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
5063246.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
51163145.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
51163145.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
5138.xn--tckwe.	172800	in	ns	n1.xundns.com.
5138.xn--tckwe.	172800	in	ns	n2.xundns.com.
51700788.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
51700788.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
5182671.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
5182671.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
