1872steak.haus.	3600	in	ns	dns.dns2.de.
1872steak.haus.	3600	in	ns	dns.dns3.de.
1872steak.haus.	3600	in	ns	dns.dns4.de.
188bet.haus.	3600	in	ns	clark.ns.cloudflare.com.
188bet.haus.	3600	in	ns	kinsley.ns.cloudflare.com.
1899.haus.	3600	in	ns	ns1041.ui-dns.biz.
1899.haus.	3600	in	ns	ns1049.ui-dns.de.
1899.haus.	3600	in	ns	ns1060.ui-dns.org.
1899.haus.	3600	in	ns	ns1117.ui-dns.com.
18b.haus.	3600	in	ns	isaac.ns.cloudflare.com.
18b.haus.	3600	in	ns	melody.ns.cloudflare.com.
19qhi7d8hnfrh7mpj0h2k7u14f48spdv.haus.	3600	in	nsec3	1 1 0 73 1DA7JGUBH7L4E3019CRQ3KV138O5IALC NS DS RRSIG
19qhi7d8hnfrh7mpj0h2k7u14f48spdv.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. FNjbvXjq0jpHbrFTC3GD1L0eNqWE6Gk7h4U6dgUFslACpEynpVHdNUGSLDFpF/Lb64g3ig501Lo6V1CpRSf9tpmWguncc+IHfmjCwiwHFYkfjVpegd2vXzMQnJJGXmXAuqY2m0MuisG0/2EPq9gUbVbLxnfUAiBGFuhZoLXQELI=
1cabura.haus.	3600	in	ns	dns1.registrar-servers.com.
1cabura.haus.	3600	in	ns	dns2.registrar-servers.com.
1da7jgubh7l4e3019crq3kv138o5ialc.haus.	3600	in	nsec3	1 1 0 73 1DSS6L5N9HE02JU89TG3472FKQD3KH5V NS DS RRSIG
1da7jgubh7l4e3019crq3kv138o5ialc.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. eqKrU74wmkVyjzAqLDhn7+MD6niN8+MmY6qzBTcyNroiysDl2qX0i9Q1CPPEYjmmMgR7yXfa2zGsFxPAwckzQVLdxNf0kybmypSgeGxfrpCmbPXsDkwnoClmO8s8Mz+DBbL2yMWBdqdd9Tc6oJtRqDOEf6q44fRrrgTgIzTiL0k=
