9xmovies.gripe.	3600	in	ns	sara.ns.cloudflare.com.
9xmovies.gripe.	3600	in	ns	wilson.ns.cloudflare.com.
a.gripe.	3600	in	ns	ns1.sedoparking.com.
a.gripe.	3600	in	ns	ns2.sedoparking.com.
a1.gripe.	3600	in	ns	ns1.cyberfolks.pl.
a1.gripe.	3600	in	ns	ns2.cyberfolks.pl.
a1.gripe.	3600	in	ns	ns3.cyberfolks.pl.
aa.gripe.	3600	in	ns	curitiba.ns.porkbun.com.
aa.gripe.	3600	in	ns	fortaleza.ns.porkbun.com.
aa.gripe.	3600	in	ns	maceio.ns.porkbun.com.
aa.gripe.	3600	in	ns	salvador.ns.porkbun.com.
aaru.gripe.	3600	in	ns	dns1.registrar-servers.com.
aaru.gripe.	3600	in	ns	dns2.registrar-servers.com.
abc8.gripe.	3600	in	ns	ezra.ns.cloudflare.com.
abc8.gripe.	3600	in	ns	mary.ns.cloudflare.com.
abcl.gripe.	3600	in	ns	dns1.cscdns.net.
abcl.gripe.	3600	in	ns	dns2.cscdns.net.
abvg5f8e90cmkomrohkr8pm8jf4v12is.gripe.	3600	in	nsec3	1 1 0 73 AI0MBHNMJG8SDOUTHSS4NUQQLPJJKRP3 NS DS RRSIG
abvg5f8e90cmkomrohkr8pm8jf4v12is.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. M+/5E/KBbrkjQD6ipyMmrYt+dFtth2rckMSnJ2qjq/bgUctk5w/slJmkYNnUbAsWLnk8fjjCpne7uiWgN5m1mjP/USOtvol9huG0eezlWcrzT3FaRl2p4A7nGcM+ZFPO9KLw4k0n4FvN86cS3INDKdXCa0XYr/Los6Sr2nXWh3I=
accurate.gripe.	3600	in	ns	ns75.domaincontrol.com.
accurate.gripe.	3600	in	ns	ns76.domaincontrol.com.
acimacard.gripe.	3600	in	ns	ns47.domaincontrol.com.
acimacard.gripe.	3600	in	ns	ns48.domaincontrol.com.
acimaoffer.gripe.	3600	in	ns	ns45.domaincontrol.com.
acimaoffer.gripe.	3600	in	ns	ns46.domaincontrol.com.
adbri.gripe.	3600	in	ns	dns1.cscdns.net.
adbri.gripe.	3600	in	ns	dns2.cscdns.net.
adbrimasonry.gripe.	3600	in	ns	dns1.cscdns.net.
adbrimasonry.gripe.	3600	in	ns	dns2.cscdns.net.
adelaidebrighton.gripe.	3600	in	ns	dns1.cscdns.net.
adelaidebrighton.gripe.	3600	in	ns	dns2.cscdns.net.
adelaidebrightoncement.gripe.	3600	in	ns	dns1.cscdns.net.
adelaidebrightoncement.gripe.	3600	in	ns	dns2.cscdns.net.
adp.gripe.	3600	in	ns	a1-199.akam.net.
adp.gripe.	3600	in	ns	a14-65.akam.net.
adp.gripe.	3600	in	ns	a18-66.akam.net.
adp.gripe.	3600	in	ns	a28-64.akam.net.
adp.gripe.	3600	in	ns	a5-66.akam.net.
adp.gripe.	3600	in	ns	a9-67.akam.net.
adp.gripe.	3600	in	ns	dns1.p01.nsone.net.
adp.gripe.	3600	in	ns	dns2.p01.nsone.net.
