0cfepd3bofk26cfdlh21d3rgtmd5ojdj.food.	300	in	rrsig	NSEC3 13 2 300 20260205001027 20260106001027 22354 food. z2NXPEYATiczHS+Ath8hmJ9RmzXvJeORXViZuAUKxJQyxhFxkezVVzZIW5mJwWDEsWSCnxS2kKVjwVuqe03p6Q==
0eif1gred9qem2j1gvo0p1n3lss1ja54.food.	300	in	nsec3	1 1 0 - 0GC7SL0LHSS30CQ56HVE5SSIKE0PUHHO NS DS RRSIG
0eif1gred9qem2j1gvo0p1n3lss1ja54.food.	300	in	rrsig	NSEC3 13 2 300 20260205001027 20260106001027 22354 food. 2pQGQA13H0ue2pjD4gz2Q5ahUq6bib7mHKPvXuJ556xViBeo7d5MYacCVDE+i33B9OrGa9ozvA7SbKuyrsEQOw==
0f23h4156.food.	900	in	ns	curitiba.ns.porkbun.com.
0f23h4156.food.	900	in	ns	fortaleza.ns.porkbun.com.
0f23h4156.food.	900	in	ns	maceio.ns.porkbun.com.
0f23h4156.food.	900	in	ns	salvador.ns.porkbun.com.
0gc7sl0lhss30cq56hve5ssike0puhho.food.	300	in	nsec3	1 1 0 - 0GMB2AOVG8K8D8IE5GFOODQEFJFKQLUA NS DS RRSIG
0gc7sl0lhss30cq56hve5ssike0puhho.food.	300	in	rrsig	NSEC3 13 2 300 20260205001027 20260106001027 22354 food. HbreUl4FtDtnS2HJYJgQAjwAmWwEFCQc+9J0E1cg5WCkhZjBLI9FuXItWRiyEbwCEwP5XTMzb5jRgpNN6yBIWw==
0gmb2aovg8k8d8ie5gfoodqefjfkqlua.food.	300	in	nsec3	1 1 0 - 0HOB0RECRULR5R4QT125VPQ4E4RAUNHA NS DS RRSIG
0gmb2aovg8k8d8ie5gfoodqefjfkqlua.food.	300	in	rrsig	NSEC3 13 2 300 20260205001027 20260106001027 22354 food. 0Z65Gwj0hvTPX7WdFgLlj9oUlgORZfq1iKsclt1iyyVhPwKYAbborapRt+8g2EgRm5JhjVog7LFZ5UCTGOqOHw==
0h6z3j.food.	900	in	ns	ns1.dyna-ns.net.
0h6z3j.food.	900	in	ns	ns2.dyna-ns.net.
0hob0recrulr5r4qt125vpq4e4raunha.food.	300	in	nsec3	1 1 0 - 0IS1JQVFGQLFL6JQ69A8URBG2DCBEC5N NS DS RRSIG
