i.globo.	86400	in	ns	ns02.oghost.com.br.
i.globo.	86400	in	ns	ns03.oghost.com.br.
i.globo.	86400	in	ns	ns04.oghost.com.br.
infoglobo.globo.	86400	in	ns	ns01.globo.com.
infoglobo.globo.	86400	in	ns	ns02.globo.com.
infoglobo.globo.	86400	in	ns	ns03.globo.com.
infoglobo.globo.	86400	in	ns	ns04.globo.com.
inteligencia.globo.	86400	in	ns	ns1-04.azure-dns.com.
inteligencia.globo.	86400	in	ns	ns2-04.azure-dns.net.
inteligencia.globo.	86400	in	ns	ns3-04.azure-dns.org.
inteligencia.globo.	86400	in	ns	ns4-04.azure-dns.info.
interatividademultishow.globo.	86400	in	ns	ns01.globo.com.
interatividademultishow.globo.	86400	in	ns	ns02.globo.com.
interatividademultishow.globo.	86400	in	ns	ns03.globo.com.
interatividademultishow.globo.	86400	in	ns	ns04.globo.com.
internal.globo.	86400	in	ns	ns01.oghost.com.br.
internal.globo.	86400	in	ns	ns02.oghost.com.br.
internal.globo.	86400	in	ns	ns03.oghost.com.br.
internal.globo.	86400	in	ns	ns04.oghost.com.br.
intranetconexao.globo.	86400	in	ns	ns01.oghost.com.br.
intranetconexao.globo.	86400	in	ns	ns02.oghost.com.br.
intranetconexao.globo.	86400	in	ns	ns03.oghost.com.br.
intranetconexao.globo.	86400	in	ns	ns04.oghost.com.br.
jornaldaglobo.globo.	86400	in	ns	ns01.globo.com.
jornaldaglobo.globo.	86400	in	ns	ns02.globo.com.
jornaldaglobo.globo.	86400	in	ns	ns03.globo.com.
jornaldaglobo.globo.	86400	in	ns	ns04.globo.com.
juriprofissionaisdoano.globo.	86400	in	ns	ns01.oghost.com.br.
juriprofissionaisdoano.globo.	86400	in	ns	ns02.oghost.com.br.
juriprofissionaisdoano.globo.	86400	in	ns	ns03.oghost.com.br.
juriprofissionaisdoano.globo.	86400	in	ns	ns04.oghost.com.br.
k70j1e16hl6en5d5cjtf7u5n68os4deu.globo.	900	in	nsec3	1 1 0 7552AD84201E8FECB4E4 U6CNAC9TFEOC8TIC2D5OT6QQM67GIA69 NS SOA RRSIG DNSKEY NSEC3PARAM
k70j1e16hl6en5d5cjtf7u5n68os4deu.globo.	900	in	rrsig	NSEC3 13 2 900 20250911011001 20250827001001 37608 globo. qAtFjvK8hFvmbawMfCm1EKt8OdoTCUnrJhP3GfiD1WfklWC9Xz1VhqHZ0toJQSi6+u670cw9AsqEWrruoqPeRg==
kogut.globo.	86400	in	ns	ns01.globo.com.
kogut.globo.	86400	in	ns	ns02.globo.com.
kogut.globo.	86400	in	ns	ns03.globo.com.
kogut.globo.	86400	in	ns	ns04.globo.com.
lab.globo.	86400	in	ns	ns148.umbler.in.
lab.globo.	86400	in	ns	ns283.umbler.com.br.
lab.globo.	86400	in	ns	ns534.umbler.com.
lab.globo.	86400	in	ns	ns840.umbler.co.uk.
led.globo.	86400	in	ns	ns01.globo.com.
led.globo.	86400	in	ns	ns02.globo.com.
led.globo.	86400	in	ns	ns03.globo.com.
led.globo.	86400	in	ns	ns04.globo.com.
licenciamentodeproduto.globo.	86400	in	ns	fay.ns.cloudflare.com.
licenciamentodeproduto.globo.	86400	in	ns	yew.ns.cloudflare.com.
loja.globo.	86400	in	ns	ns-1288.awsdns-33.org.
loja.globo.	86400	in	ns	ns-1774.awsdns-29.co.uk.
loja.globo.	86400	in	ns	ns-355.awsdns-44.com.
loja.globo.	86400	in	ns	ns-686.awsdns-21.net.
lojaglobo.globo.	86400	in	ns	ns01.oghost.com.br.
lojaglobo.globo.	86400	in	ns	ns02.oghost.com.br.
lojaglobo.globo.	86400	in	ns	ns03.oghost.com.br.
lojaglobo.globo.	86400	in	ns	ns04.oghost.com.br.
mediatechlab.globo.	86400	in	ns	ns-1204.awsdns-22.org.
