express.	3600	in	soa	v0n0.nic.express. hostmaster.donuts.email. 1757034235 7200 900 1209600 3600
1543bllnh6vgjfdpbo2620pu937o4q0h.express.	3600	in	rrsig	NSEC3 8 2 3600 20250922155719 20250901145719 49281 express. ekIBiLXuDIx/XGro4muc6ZbtlYDqsyYegJkoEeD9YDf5z6SoZP9CBxQsdNAp0A6LjL/11zX82GWUjzuk2uz0EzNsObIGdNDbOHZpVqGG+OB+lmGvsLEtmMMeuzRqvG40FyanoKkVN2wjp6Wn3EyGGBL0VfUggb0IowqUxkmCOkQ=
15dccu6475tt0bic1lmil61rdmja2k6m.express.	3600	in	nsec3	1 1 0 73 1FTSIL04LHJQM3EA5D78U58JRMKE86C4 NS DS RRSIG
15dccu6475tt0bic1lmil61rdmja2k6m.express.	3600	in	rrsig	NSEC3 8 2 3600 20250922155719 20250901145719 49281 express. QVe7Sm7V3b4edk9zDD8mQCxDWnL7LL/rxIpiYx+EC+YdoRKVBW6rybKHXsSeSOgmlnkicEkqHd6Sf1t9IIxZm9EEDIjs6k0ep6vVaVNbWTmCRCaPC0v/cN7esEi+NRRGSJTL2VxAokH32phHkjDMekhyaEWFq5J94kZBLNSDEvw=
1688.express.	3600	in	ns	dns1.registrar-servers.com.
1688.express.	3600	in	ns	dns2.registrar-servers.com.
1800.express.	3600	in	ns	curitiba.ns.porkbun.com.
1800.express.	3600	in	ns	fortaleza.ns.porkbun.com.
1800.express.	3600	in	ns	maceio.ns.porkbun.com.
1800.express.	3600	in	ns	salvador.ns.porkbun.com.
188bet.express.	3600	in	ns	pdns95.ultradns.biz.
188bet.express.	3600	in	ns	pdns95.ultradns.com.
188bet.express.	3600	in	ns	pdns95.ultradns.net.
188bet.express.	3600	in	ns	pdns95.ultradns.org.
18win.express.	3600	in	ns	curt.ns.cloudflare.com.
18win.express.	3600	in	ns	kami.ns.cloudflare.com.
1bn.express.	3600	in	ns	ns07.domaincontrol.com.
1bn.express.	3600	in	ns	ns08.domaincontrol.com.
1ftsil04lhjqm3ea5d78u58jrmke86c4.express.	3600	in	nsec3	1 1 0 73 1JG58SMF7K4FIJ1OF363SLEEBG3NVJCO NS DS RRSIG
1ftsil04lhjqm3ea5d78u58jrmke86c4.express.	3600	in	rrsig	NSEC3 8 2 3600 20250922155719 20250901145719 49281 express. OevtNuRc9XLIDFB46IfSuh4wuIBo/MPFKD9LKnvqxchoFnGTkLUKBqWucsneVmNAPAcSAdLsaGf5myfwlOS4Nwfe+oduHHPZ+PB2MUad/5ZlIhj7H3FRgPculoIUC2urv2TprJskaT9AZW6nERDYWpTgOsda3hW/2HuEmaaIops=
1jg58smf7k4fij1of363sleebg3nvjco.express.	3600	in	nsec3	1 1 0 73 1KL8H8O6SN3QP6CFSV373LMEPS1BPG1R NS DS RRSIG
1jg58smf7k4fij1of363sleebg3nvjco.express.	3600	in	rrsig	NSEC3 8 2 3600 20250922155719 20250901145719 49281 express. SgSHCOapJzr0uYHZVJX78xlACn7zAWJgtL31pnDU7k8ULEAgBGKWOEoAr55nUVTEAcVKlNkL/av0mvRmA+EVrN5Rs5IQGXfEbX0JlbbMf205TeXKvIqNkCivpV1OnRAUN7q13VYAbRMa2oEhhjoag9clOFeLUOR7LDbHWsFeCmc=
1kg.express.	3600	in	ns	ns1.hosting.reg.ru.
1kg.express.	3600	in	ns	ns2.hosting.reg.ru.
1kl8h8o6sn3qp6cfsv373lmeps1bpg1r.express.	3600	in	nsec3	1 1 0 73 1LQ54SQJVFLMV6C1IE2GGMBN8VMOAFEE NS DS RRSIG
1kl8h8o6sn3qp6cfsv373lmeps1bpg1r.express.	3600	in	rrsig	NSEC3 8 2 3600 20250922155719 20250901145719 49281 express. DuA3PGXNpfnPkZrTFt+L5A2vh61oIgAde1xG5tXzX+Gam9lAK4cMDurg7nlyWiylElIrxFpsflS3uJNICDWDwXH2/oiu1gYY1lfrZAk+9BaKJStMWzkuo5bLig4v6Ybj4KsBjcTh4XnSGD0JseUL+3eXlNnn496Ed8Apxm1D8sQ=
1kuwin.express.	3600	in	ns	lynn.ns.cloudflare.com.
1kuwin.express.	3600	in	ns	rita.ns.cloudflare.com.
1lq54sqjvflmv6c1ie2ggmbn8vmoafee.express.	3600	in	nsec3	1 1 0 73 1Q1VB0CB489G098UKDKPKL1UIJK85BE6 NS DS RRSIG
1lq54sqjvflmv6c1ie2ggmbn8vmoafee.express.	3600	in	rrsig	NSEC3 8 2 3600 20250922155719 20250901145719 49281 express. wvGS4sfqeCMIXEwkGBFz8/1oV81K571CJwtHNSqj+kzBOhYVpeKfitAnagQKJMYCcrUTT0Giqk8dh1kr0XAfaoeBfTf+9M7+ESFADuB1tGvCuxGYoFrd7bNagl1jVl7867/3nyqwD1wRhXfeXFEV+brWypNJ7wLxhOZdrBaQZSk=
1midnight.express.	3600	in	ns	ns41.domaincontrol.com.
1midnight.express.	3600	in	ns	ns42.domaincontrol.com.
1q1vb0cb489g098ukdkpkl1uijk85be6.express.	3600	in	nsec3	1 1 0 73 1R3NPEDPCVKQPDRVE9AMQ7999IHHBM1G NS DS RRSIG
