538qvhcl127rjn73crg73o19gb57lqvk.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. cwZla0TKd0i7nGQECUjH1KptXfjwnSA4ZsUnW7jcgzyAemga+zMB75j/0MCfPY5j5/D2JatVWyNwUSF3EuzagM1MJ70Hj5FzrDaSgR6U+k5wx0JMCZ5VyczlAVnSI8AxH0ofMFjp7VhOGbkmM17gG+1rU0xb0Z1A/c7TKqAIzbE=
58e45l5tp7mnbqm9kho4qbna9b4fu04f.futbol.	3600	in	nsec3	1 1 0 73 58NIBCL7LMH6LV9NH55U24HK5DR9KTJE NS DS RRSIG
58e45l5tp7mnbqm9kho4qbna9b4fu04f.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. NybPHqss7rdqEugDLVO5BvCl62J87t14z8Wpb6rMmU1lW9sGkaZMglHqIRN9ORIoK3Gn3AEnTiNSya6d063sZOlxcju4kZHKbGSut2YO2FtaqaqdQRz8WrF9mITkkZA2nzi+hAvxgDjKKsj8uikqDk36Rjoh5Toni/7wMwEyupg=
58nibcl7lmh6lv9nh55u24hk5dr9ktje.futbol.	3600	in	nsec3	1 1 0 73 5AEGRPHKDE25EISTRDO5MOB2G8G877IM NS DS RRSIG
58nibcl7lmh6lv9nh55u24hk5dr9ktje.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. T9tUVpPPGEejLWtsCucKWY+dMSszkkDmFtCVKds9Px93prPYRV/fVOL85wHuljlNmqkZFzkLJEi5CUd/fw3X+148cYS1NkTtUiiiyi7H8A+8+sdwXRrWjGmXFDVVLCnix9eht7JmovCgvq6l07jdLBKmNLqSRSnTlqAPkJc7fzU=
58win.futbol.	3600	in	ns	liz.ns.cloudflare.com.
58win.futbol.	3600	in	ns	patrick.ns.cloudflare.com.
59894.futbol.	3600	in	ns	ns1.dyna-ns.net.
59894.futbol.	3600	in	ns	ns2.dyna-ns.net.
5aegrphkde25eistrdo5mob2g8g877im.futbol.	3600	in	nsec3	1 1 0 73 5H7SIJS56K35VPNU9UF0QQF1872CIBAL NS DS RRSIG
5aegrphkde25eistrdo5mob2g8g877im.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. RxF2MWIwfEUFsXCotAqIz8Z/sD3UeXlyYeYf5BHddRBeIXPzR2VFqNxvxx8Kdykt1pc3eI0SEMKQkFH0Fciq10t9rHOnN5JhB2/Y/f0y4qVlW1YBb7m7mBCzJXoSSIPGLa+DDHvYpgUHuaymt276784WNoX+3MQELJWg3N+A794=
5h7sijs56k35vpnu9uf0qqf1872cibal.futbol.	3600	in	nsec3	1 1 0 73 5HL6Q8K0OB0MNLU7H3QJ0V1K745G3Q48 NS DS RRSIG
