27u9m0jau0f0dd752imtrk4veplteahk.diy.	300	in	rrsig	NSEC3 13 2 300 20260224000519 20260125000519 57048 diy. 08FuiRHL2of38k+QpNZQGS5SqcMnmY42gt+Y6Gaj+eSVtlf5ThmsDmvcdtYp4O4Nq34qaL4n0cvcHNT16vPkUQ==
27videos.diy.	900	in	ns	ns75.domaincontrol.com.
27videos.diy.	900	in	ns	ns76.domaincontrol.com.
28340.diy.	900	in	ns	dexter.ns.cloudflare.com.
28340.diy.	900	in	ns	perla.ns.cloudflare.com.
28bet.diy.	900	in	ns	cloe.ns.cloudflare.com.
28bet.diy.	900	in	ns	martin.ns.cloudflare.com.
2fa.diy.	900	in	ns	a.share-dns.com.
2fa.diy.	900	in	ns	b.share-dns.net.
2hlusqius2pq621nasblst4sqe6pm10a.diy.	300	in	nsec3	1 1 0 - 2LADL1OTHHPM1B660PEGGU57J5FIGLCS NS DS RRSIG
2hlusqius2pq621nasblst4sqe6pm10a.diy.	300	in	rrsig	NSEC3 13 2 300 20260224000519 20260125000519 57048 diy. VqOlHdTXdOVByHjihBmMX6A7o6km+VWz9zVsq1Mh2QZUjxava1SDv9kcpE+r8xc9zS+wF4mFFkRsvFkmnkdx5A==
2ixc1rga.diy.	900	in	ns	ns1.byteshieldns.com.
2ixc1rga.diy.	900	in	ns	ns2.byteshieldns.com.
2ladl1othhpm1b660peggu57j5figlcs.diy.	300	in	nsec3	1 1 0 - 2LCN6VRBA9TNI17JVGSE9PS5QM383QP1 NS DS RRSIG
2ladl1othhpm1b660peggu57j5figlcs.diy.	300	in	rrsig	NSEC3 13 2 300 20260224000519 20260125000519 57048 diy. f2wW5LxK5jwFA6kNXRf0HlCgwrgL/Lhhhxs2HL4+6BW8IZN7YXHbgY6ok4LkqDsKLgpZxF+wAyVTTxzAQ4RZOw==
2lcn6vrba9tni17jvgse9ps5qm383qp1.diy.	300	in	nsec3	1 1 0 - 2U8OGIVV4S0OOQE326JO3KB6J5792A90 NS DS RRSIG
2lcn6vrba9tni17jvgse9ps5qm383qp1.diy.	300	in	rrsig	NSEC3 13 2 300 20260224000519 20260125000519 57048 diy. 6bcY6pnrcpib73Yxr8qpyZ2cdN+YgUki9CBKLqEFuzl/ybAfd8Uo1h0KY1sqJCtxCraVD7xGMQ3aALXQIpJQrQ==
2mw5sahgzzyz.diy.	900	in	ns	dns1.registrar-servers.com.
2mw5sahgzzyz.diy.	900	in	ns	dns2.registrar-servers.com.
2u8ogivv4s0ooqe326jo3kb6j5792a90.diy.	300	in	nsec3	1 1 0 - 30OLRM02CV9Q8NGITM71PDSG5A7S9BUV NS DS RRSIG
