1040income.tax.	3600	in	ns	ns2.getnetset.com.
1040online.tax.	3600	in	ns	ns41.domaincontrol.com.
1040online.tax.	3600	in	ns	ns42.domaincontrol.com.
1040tax.tax.	3600	in	ns	ns41.worldnic.com.
1040tax.tax.	3600	in	ns	ns42.worldnic.com.
1040taxbiz.tax.	3600	in	ns	ns27.domaincontrol.com.
1040taxbiz.tax.	3600	in	ns	ns28.domaincontrol.com.
1040ts.tax.	3600	in	ns	dns1.registrar-servers.com.
1040ts.tax.	3600	in	ns	dns2.registrar-servers.com.
1040xpress.tax.	3600	in	ns	ns1hwy.name.com.
1040xpress.tax.	3600	in	ns	ns2clp.name.com.
1040xpress.tax.	3600	in	ns	ns3gmv.name.com.
1040xpress.tax.	3600	in	ns	ns4bht.name.com.
1041.tax.	3600	in	ns	ns35.worldnic.com.
1041.tax.	3600	in	ns	ns36.worldnic.com.
10419.tax.	3600	in	ns	ns1.dnsip.com.
10419.tax.	3600	in	ns	ns2.dnsip.com.
1042s.tax.	3600	in	ns	ns65.domaincontrol.com.
1042s.tax.	3600	in	ns	ns66.domaincontrol.com.
1042scomply.tax.	3600	in	ns	ns65.domaincontrol.com.
1042scomply.tax.	3600	in	ns	ns66.domaincontrol.com.
10432.tax.	3600	in	ns	ns1.dnsip.com.
10432.tax.	3600	in	ns	ns2.dnsip.com.
