is.statebank.	3600	in	ds	39422 13 2 0F4B5DB112AC8286C9E809E6ED44BFABA6AE773DDDB4EB595D9114961EAEC940
is.statebank.	3600	in	ns	a1-148.akam.net.
is.statebank.	3600	in	ns	a16-64.akam.net.
is.statebank.	3600	in	ns	a20-64.akam.net.
is.statebank.	3600	in	ns	a22-65.akam.net.
is.statebank.	3600	in	ns	a3-66.akam.net.
is.statebank.	3600	in	ns	a5-66.akam.net.
is.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. FWuFIb+nYgW4pWf80YEPLbFDDzsFsZ96qaqtjsdgNiZwzxjpOsRWSfCYEMBqc18rEz9ECzfWAAIddcZtBoTBgghFqffKZlic9bkzsJttgEUlQBMoU48CRJ8fKd+dXizahEDfFMDO+sYF1bRyY8MtU0F+Q/2Pd/fcus38EG6ywFc=
itfo.statebank.	3600	in	ds	15521 13 2 24BB5895716785CABB127D07E8332E9AB76A860F59755852E78E7916B5464494
itfo.statebank.	3600	in	ns	a1-148.akam.net.
itfo.statebank.	3600	in	ns	a16-64.akam.net.
itfo.statebank.	3600	in	ns	a20-64.akam.net.
itfo.statebank.	3600	in	ns	a22-65.akam.net.
itfo.statebank.	3600	in	ns	a3-66.akam.net.
itfo.statebank.	3600	in	ns	a5-66.akam.net.
itfo.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. lIx0KUm+CKNKrT7aTAevGatJlzvh6FyMEKQLiRQE/7GUgW+WV1nLvtwHz+XyFhvm3/VL6wWQH9AKcFuY96NCuftZb4MRGu2w5SC8krBzFD4zAIHQFunFFbka60fopYP9GzHXxAa990jaXjKZn1OVDt02C9X4DLUY7aGMAEYK/tQ=
jbtbjodl19ncakb39rjdbkasivbkr9uf.statebank.	3600	in	nsec3	1 1 0 73 JP2S64209KTVAGEGJ2MIPAQC23QISMJ7 NS DS RRSIG
jbtbjodl19ncakb39rjdbkasivbkr9uf.statebank.	3600	in	rrsig	NSEC3 8 2 3600 20250916152406 20250826142406 1566 statebank. JM4KDTdC5Q+MHuTa+njUpLvwH1aM58nOuWzztboL+bYJwOhBz9W9rjXFbwQECMYKHWrKD+Vcgz2ruuYCvWRcQFjlv1nznp3ceRlZXJdVjdJ/SuaW1KcHHmwkks/qwwpxnHymx1zouhj9ytxVCcxhoq5q2OjE4tdpdvfpCem3LeU=
jp.statebank.	3600	in	ds	26922 13 2 79EB98221A1C9CA0C634FF0ED73E0F8E84536639C79E8DE0356A0FF681862877
jp.statebank.	3600	in	ns	a1-148.akam.net.
jp.statebank.	3600	in	ns	a16-64.akam.net.
jp.statebank.	3600	in	ns	a20-64.akam.net.
jp.statebank.	3600	in	ns	a22-65.akam.net.
jp.statebank.	3600	in	ns	a3-66.akam.net.
jp.statebank.	3600	in	ns	a5-66.akam.net.
jp.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. XUr9Es1I0LshtyvHYGzRSSbO2/hhBh0Xlgngl0osprPZKFprojthxTB2NUwaL5xSpUEGgZOvkRgVo4OIE7JYZq1stD4nTsMeXMAHnq338CoVB0om5sW/qpEcp2sjTW8NLKmSVPJw8qWUGZ4VE8NxetLP88Ght7i+IFyPWho1Ka0=
jp2s64209ktvagegj2mipaqc23qismj7.statebank.	3600	in	nsec3	1 1 0 73 JSL62ITMJTUQ9U3PDAIQBDN6E3P5NBGL NS DS RRSIG
jp2s64209ktvagegj2mipaqc23qismj7.statebank.	3600	in	rrsig	NSEC3 8 2 3600 20250916152406 20250826142406 1566 statebank. eKVbiHjLPAtSuq5+0S4TH2xv3zalMHBjcPxI/CUEzqvq49g57QsClFzFDz4ia0O3soxE5LKmB40u1lfwdgu2nbLdzgsOZBZHhTBad7Pt3nENHHYw7nip0xidhLVYeYKerVmjBRl5lMcexnQMKUCBmYlgg8G8m2EP4R1OJyPRd1A=
