gmbh.	3600	in	soa	v0n0.nic.gmbh. hostmaster.donuts.email. 1759367345 7200 900 1209600 3600
1218.gmbh.	3600	in	ns	ns1039.ui-dns.com.
1218.gmbh.	3600	in	ns	ns1056.ui-dns.org.
1218.gmbh.	3600	in	ns	ns1071.ui-dns.biz.
1218.gmbh.	3600	in	ns	ns1112.ui-dns.de.
123-etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
123-etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
123-etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
123-etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
1234.gmbh.	3600	in	ns	docks19.rzone.de.
1234.gmbh.	3600	in	ns	shades16.rzone.de.
1235.gmbh.	3600	in	ns	a.ns14.net.
1235.gmbh.	3600	in	ns	b.ns14.net.
1235.gmbh.	3600	in	ns	c.ns14.net.
1235.gmbh.	3600	in	ns	d.ns14.net.
123b.gmbh.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.gmbh.	3600	in	ns	sandy.ns.cloudflare.com.
123edv.gmbh.	3600	in	ns	ns1.123edv.com.
123edv.gmbh.	3600	in	ns	ns2.123edv.com.
123edv.gmbh.	3600	in	ns	ns3.123edv.com.
123edv.gmbh.	3600	in	ns	ns4.123edv.com.
123erfasst.gmbh.	3600	in	ds	12491 8 2 D5F52261572529B9D07954166D24BD3D7A20BC8094CD21368F1D64C55727A434
123erfasst.gmbh.	3600	in	ns	ns-cloud-d1.googledomains.com.
123erfasst.gmbh.	3600	in	ns	ns-cloud-d2.googledomains.com.
123erfasst.gmbh.	3600	in	ns	ns-cloud-d3.googledomains.com.
123erfasst.gmbh.	3600	in	ns	ns-cloud-d4.googledomains.com.
123erfasst.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. tVVKYLiLGbfWtpq1gEgVkJdLk9w1jkuT0gkEzciNZBhC2dENWS4dTrBQbjapMGEQ420XmJay93IvI9VGNODq7LSn/tEESZex3osHkj4Jx/9bBtFlI3gFvJRPJ6G4S4acrqjAKMGN9bsJMy01hOPzbiP9Lzh6LNVKhFHzE5r+Ihk=
123etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
123etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
123etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
123etiketten.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
123fahrschule.gmbh.	3600	in	ns	angela.ns.cloudflare.com.
123fahrschule.gmbh.	3600	in	ns	jonah.ns.cloudflare.com.
123med.gmbh.	3600	in	ns	ns1029.ui-dns.biz.
123med.gmbh.	3600	in	ns	ns1044.ui-dns.com.
123med.gmbh.	3600	in	ns	ns1067.ui-dns.org.
123med.gmbh.	3600	in	ns	ns1097.ui-dns.de.
123value.gmbh.	3600	in	ns	ns.checkdomain.de.
123value.gmbh.	3600	in	ns	ns2.checkdomain.de.
129bit.gmbh.	3600	in	ns	helium.ns.hetzner.de.
129bit.gmbh.	3600	in	ns	hydrogen.ns.hetzner.com.
129bit.gmbh.	3600	in	ns	oxygen.ns.hetzner.com.
12systems.gmbh.	3600	in	ns	ns1.domaindiscount24.net.
12systems.gmbh.	3600	in	ns	ns2.domaindiscount24.net.
12systems.gmbh.	3600	in	ns	ns3.domaindiscount24.net.
12zylinder.gmbh.	3600	in	ns	docks18.rzone.de.
12zylinder.gmbh.	3600	in	ns	shades11.rzone.de.
1306.gmbh.	3600	in	ns	dns1.registrar-servers.com.
1306.gmbh.	3600	in	ns	dns2.registrar-servers.com.
1337.gmbh.	3600	in	ns	ns01.xsserver.gmbh.
1337.gmbh.	3600	in	ns	ns02.xsserver.gmbh.
14064.gmbh.	3600	in	ns	docks13.rzone.de.
14064.gmbh.	3600	in	ns	shades05.rzone.de.
1409.gmbh.	3600	in	ns	ns1.variomedia.de.
1409.gmbh.	3600	in	ns	ns2.variomedia.de.
1424.gmbh.	3600	in	ns	docks20.rzone.de.
1424.gmbh.	3600	in	ns	shades08.rzone.de.
174va4c803ni6i1a6lfks7ed9nvk1fst.gmbh.	3600	in	nsec3	1 1 0 73 17MUMJVQU1M4KGR0MMGUGCVJN1F9GGH6 NS DS RRSIG
