directorio.ltda.	3600	in	ns	b.ns14.net.
directorio.ltda.	3600	in	ns	c.ns14.net.
directorio.ltda.	3600	in	ns	d.ns14.net.
directory.ltda.	3600	in	ns	a.ns14.net.
directory.ltda.	3600	in	ns	b.ns14.net.
directory.ltda.	3600	in	ns	c.ns14.net.
directory.ltda.	3600	in	ns	d.ns14.net.
diretorio.ltda.	3600	in	ns	a.ns14.net.
diretorio.ltda.	3600	in	ns	b.ns14.net.
diretorio.ltda.	3600	in	ns	c.ns14.net.
diretorio.ltda.	3600	in	ns	d.ns14.net.
dktronics.ltda.	3600	in	ns	dns1.dktronics.cl.
dktronics.ltda.	3600	in	ns	dns2.dktronics.cl.
dns.ltda.	3600	in	ns	a.ns14.net.
dns.ltda.	3600	in	ns	b.ns14.net.
dns.ltda.	3600	in	ns	c.ns14.net.
dns.ltda.	3600	in	ns	d.ns14.net.
dnssec.ltda.	3600	in	ns	a.ns14.net.
dnssec.ltda.	3600	in	ns	b.ns14.net.
dnssec.ltda.	3600	in	ns	c.ns14.net.
dnssec.ltda.	3600	in	ns	d.ns14.net.
domain.ltda.	3600	in	ns	a.ns14.net.
domain.ltda.	3600	in	ns	b.ns14.net.
domain.ltda.	3600	in	ns	c.ns14.net.
domain.ltda.	3600	in	ns	d.ns14.net.
domains.ltda.	3600	in	ns	ns09.domaincontrol.com.
domains.ltda.	3600	in	ns	ns10.domaincontrol.com.
dominio.ltda.	3600	in	ns	a.ns14.net.
dominio.ltda.	3600	in	ns	b.ns14.net.
