01x.wtf.	3600	in	rrsig	DS 8 2 3600 20260207151729 20260117141729 17028 wtf. KQ3meJIvfMd9JU3F4i8fqYdMRTPRmgl9LKbH3ub/7L0B2BfM8YzrWBg1xWz/VrJcrFvng8dgd/hBQAxJjJash9kFJtLFRgjtuXkKZ+0wj8NjVk9jEeuS6Tcj9qSfdfKLDQCHMbCQKF499ATz4bX6lhc4n7MHKVTjBSLPXU36o9o=
02.wtf.	3600	in	ds	35229 13 2 6E729C17B0873D8344A6E8F68E298F49AB36650AAC33399A70EE223422B4AA80
02.wtf.	3600	in	ns	launch1.spaceship.net.
02.wtf.	3600	in	ns	launch2.spaceship.net.
02.wtf.	3600	in	rrsig	DS 8 2 3600 20260207151729 20260117141729 17028 wtf. CkXI/NR/xVrxcHmZXwE9bdzBKP/MW0GNOJg47ungwDqAaxdeaPoqVZsCIv3OCCK+iEZH4Bffq0rqhN4NWHO1oUgknQhlA5RWqUdaDqNE1BRS4v/Qx6goDL/H+8VQWMBGKjPT6O/HWfSnGjALnAr02y8Ucz6O68nWzoLDviSKu+g=
021.wtf.	3600	in	ns	ns-1288.awsdns-33.org.
021.wtf.	3600	in	ns	ns-1745.awsdns-26.co.uk.
021.wtf.	3600	in	ns	ns-303.awsdns-37.com.
021.wtf.	3600	in	ns	ns-709.awsdns-24.net.
02b38lptthnl6u3vr6mma347ttthmf3o.wtf.	3600	in	nsec3	1 1 0 73 030ESNM6GST8L1PGOC32DR2R6341223U NS DS RRSIG
02b38lptthnl6u3vr6mma347ttthmf3o.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. AAvJoqGdAhQYZM7nrwfk07VAzH/i7YMusxPpLhaaAADJDnXyOa2rEzPDL6YmrC1JRxfCuup9X1krh6KKxMv6XtD9qyqnj8nx9ttS3udRfhfYF72rksaD0NENELUc1QaAT3QKm/WfH2olB7IjnKiuj9lWmYnhR62BWgd/isK9ZuI=
02bbq.wtf.	3600	in	ns	ns47.domaincontrol.com.
02bbq.wtf.	3600	in	ns	ns48.domaincontrol.com.
03.wtf.	3600	in	ns	ns1.myhostadmin.net.
03.wtf.	3600	in	ns	ns2.myhostadmin.net.
03.wtf.	3600	in	ns	ns3.myhostadmin.net.
03.wtf.	3600	in	ns	ns4.myhostadmin.net.
03.wtf.	3600	in	ns	ns5.myhostadmin.net.
03.wtf.	3600	in	ns	ns6.myhostadmin.net.
03023.wtf.	3600	in	ns	a.dnspod.com.
03023.wtf.	3600	in	ns	b.dnspod.com.
03023.wtf.	3600	in	ns	c.dnspod.com.
030esnm6gst8l1pgoc32dr2r6341223u.wtf.	3600	in	nsec3	1 1 0 73 03D6LDGUGT6FCB38RPUKKDDIF56IF95J NS DS RRSIG
030esnm6gst8l1pgoc32dr2r6341223u.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. kan6kpqFhr68GTSJvtRMkgSTwE0f/zTh+S+BFxtR+BiI01JuS98ygHDndxDNNUvrNHe7G4YYZJlBtogGZJ1JC8b9WcF3LLwBVQSgd3VHQQAnySa7TciOOWEK1MVZcETy7oqa71HZXWbAZ6DD/3qc19LHAwT+C5nyqE3T5Vh3RNo=
03463.wtf.	3600	in	ns	clayton.ns.cloudflare.com.
03463.wtf.	3600	in	ns	julissa.ns.cloudflare.com.
03914.wtf.	3600	in	ns	ns1.dyna-ns.net.
03914.wtf.	3600	in	ns	ns2.dyna-ns.net.
03d6ldgugt6fcb38rpukkddif56if95j.wtf.	3600	in	nsec3	1 1 0 73 03RCK3NG34DUBJNVDMH6U50L7PD7S88F NS DS RRSIG
03d6ldgugt6fcb38rpukkddif56if95j.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. MUOaEOFsW3dO1G/BFgD6m2FZiglUV5N3tfREddxNXO4pGQ628+wMqeeXIyn+w12Q7y4/r6qE5B+O2JZdL/Os4UOJX5WkuARfpSwcJOnO6fC4wmaG/PWPRTGMbSMgDidxoW/cGz9Fe1/UgZNF7tBeISvOm1L7Y3qZvNxbH5MmriQ=
03rck3ng34dubjnvdmh6u50l7pd7s88f.wtf.	3600	in	nsec3	1 1 0 73 04194RQVOOFF3FMAQ5NNNEBE3OVHRCQF NS DS RRSIG
