ringoffreedom.nra.	3600	in	ns	ns1.nameserver.net.au.
ringoffreedom.nra.	3600	in	ns	ns2.nameserver.net.au.
ringoffreedom.nra.	3600	in	ns	ns3.nameserver.net.au.
rosewoodknife.nra.	3600	in	ns	ns1.nameserver.net.au.
rosewoodknife.nra.	3600	in	ns	ns2.nameserver.net.au.
rosewoodknife.nra.	3600	in	ns	ns3.nameserver.net.au.
rtkba.nra.	3600	in	ns	ns1.nameserver.net.au.
rtkba.nra.	3600	in	ns	ns2.nameserver.net.au.
rtkba.nra.	3600	in	ns	ns3.nameserver.net.au.
savefreedom.nra.	3600	in	ns	ns1.nameserver.net.au.
savefreedom.nra.	3600	in	ns	ns2.nameserver.net.au.
savefreedom.nra.	3600	in	ns	ns3.nameserver.net.au.
savemyfreedom.nra.	3600	in	ns	ns1.nameserver.net.au.
savemyfreedom.nra.	3600	in	ns	ns2.nameserver.net.au.
savemyfreedom.nra.	3600	in	ns	ns3.nameserver.net.au.
savemyguns.nra.	3600	in	ns	ns1.nameserver.net.au.
savemyguns.nra.	3600	in	ns	ns2.nameserver.net.au.
savemyguns.nra.	3600	in	ns	ns3.nameserver.net.au.
savemyrights.nra.	3600	in	ns	ns1.nameserver.net.au.
savemyrights.nra.	3600	in	ns	ns2.nameserver.net.au.
savemyrights.nra.	3600	in	ns	ns3.nameserver.net.au.
saveourguns.nra.	3600	in	ns	ns1.nameserver.net.au.
saveourguns.nra.	3600	in	ns	ns2.nameserver.net.au.
saveourguns.nra.	3600	in	ns	ns3.nameserver.net.au.
saveyourfreedom.nra.	3600	in	ns	ns1.nameserver.net.au.
saveyourfreedom.nra.	3600	in	ns	ns2.nameserver.net.au.
saveyourfreedom.nra.	3600	in	ns	ns3.nameserver.net.au.
secondamendment.nra.	3600	in	ns	ns1.nameserver.net.au.
secondamendment.nra.	3600	in	ns	ns2.nameserver.net.au.
secondamendment.nra.	3600	in	ns	ns3.nameserver.net.au.
services.nra.	3600	in	ns	ns-1026.awsdns-00.org.
services.nra.	3600	in	ns	ns-1951.awsdns-51.co.uk.
services.nra.	3600	in	ns	ns-243.awsdns-30.com.
services.nra.	3600	in	ns	ns-824.awsdns-39.net.
shooterscap.nra.	3600	in	ns	ns1.nameserver.net.au.
shooterscap.nra.	3600	in	ns	ns2.nameserver.net.au.
