5q0pfcnbau0sc4qgmj4kic9q0ji29q8m.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. OmBFaq7nuHXYtLyVDXl06C+AvlwFdY7V+VS2uS0kBumi7XBy7gR/H9fwTekJqQoV6iOmWqfTs+LgvY10x1h+qKkh3W0Uyea5RUQHTlkTubdyVCcXGrxPMNSfTM3dWrVs7GB349INY0vDBGuEwsda5d5QeVyqxmFQ+mZ3bhNgYIQ=
604.dentist.	3600	in	ns	ns05.domaincontrol.com.
604.dentist.	3600	in	ns	ns06.domaincontrol.com.
611019.dentist.	3600	in	ns	ns1.dyna-ns.net.
611019.dentist.	3600	in	ns	ns2.dyna-ns.net.
66hlb7sjhs86f9iqta9igrrm0bvc4cev.dentist.	3600	in	nsec3	1 1 0 73 6BOGLU3S31FFDDMLM01EG660Q1GT5V0H NS DS RRSIG
66hlb7sjhs86f9iqta9igrrm0bvc4cev.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. mEs/tP7pRTjPWbAW0eFLviJXBkJqdRab23R7FhkrXZwJr2niXQ3C42HQ6JiCdEpB8bTHBokfygXCyK2RBd1l6If8GgHSJrn57/JDfnwB6QThx3kH6/c+oQ4pbXRrSuSWuIDoZyTZJWSPb01rdOFn0HLxMKrQfVtKaOJBe371rjE=
6boglu3s31ffddmlm01eg660q1gt5v0h.dentist.	3600	in	nsec3	1 1 0 73 6BR023BGR6IFMC8VIBUC1D12UH3LEIEO NS DS RRSIG
6boglu3s31ffddmlm01eg660q1gt5v0h.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. X/EPD/Sl2PLsDtp7eOcmLwJ76OX4+i09lnQQtCTZpf/ebnEZcDHPPE2MLuhjWLk6lLVAydx1wnJb+fMELLYzZkSEfHzLlhIj/MXg3B6J/SFwXdO1Q7rMUKq2T45x9YUeLmbbubM6T8HPNFBvApDEq5rDui7B1nRr0Ricwk6hhLM=
6br023bgr6ifmc8vibuc1d12uh3leieo.dentist.	3600	in	nsec3	1 1 0 73 6DMHBV5595SVT6LRD268GLISDRHLRSVB NS DS RRSIG
6br023bgr6ifmc8vibuc1d12uh3leieo.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. fKOTinbgMB0g/kcVJACE0xGVU0LSfVyyVbXNMf63PurzbVKnc8gE42UErj6seMJEWW7fqS57SE+ySNKIZqdtlnClHYt7Ji4tRBytqIGkFeohl4V4SdFwY56EI5B4LH3J/wQMKqCJ5W3hisiJZtuT8fGKivob+vSVmPLpJUhNrlg=
6dmhbv5595svt6lrd268glisdrhlrsvb.dentist.	3600	in	nsec3	1 1 0 73 6IARSRG169HO7HVGVSJFKGC8466QIE56 NS DS RRSIG
6dmhbv5595svt6lrd268glisdrhlrsvb.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. oSQvwO+e4GnANaBlFW+XbGxjLGnTtzy368vOT36CmFdmqE39NQ4pDbfDxijGFOy9LUzLDLDwSo7HhDSvt7eqJdBnbFPD0tgGgjGgn/leL/eFkdixUnMRZiZl4QUYCirbME5X987WjAeIV3Zsl+Hj17JMb8Ip5u9cRXx+GKYG6Co=
6iarsrg169ho7hvgvsjfkgc8466qie56.dentist.	3600	in	nsec3	1 1 0 73 6LG0GJPASIRFB6G3TQVP03K2QSU14B8R NS DS RRSIG
6iarsrg169ho7hvgvsjfkgc8466qie56.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. UwKXM5Mbd1+vlmRO5G4WTid44QWK8dW+XVqK/ysTjEjA2Ve3kckKCaIiJ1ipf4nF1D08WQk92D/jBybpct7wPj7/iEhI0WC8xrcZAtl6hN41EHeHWQITHkKDDUFAfwPXM7S2xtvjisUEc5xWaTxR9YTYR1IIC9AcNQQ4dHFkVUs=
6lg0gjpasirfb6g3tqvp03k2qsu14b8r.dentist.	3600	in	nsec3	1 1 0 73 6U8USUEEM8ENSPBJSU6BJ2544034DAE0 NS DS RRSIG
6lg0gjpasirfb6g3tqvp03k2qsu14b8r.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. XM9TD5vTbJAt3CBSroG2dHlE6R5yrWAro2EeEtFKy8NMVohfHqmRg5gNb1LA1pAk/N8LwRqI3DDAOvKXgY4HWmd4bR/si6KmF96Qb5S3JAa3jwUGb5kKQXTKsqNNFiEsh/Ott+svmOKNbvwTU+J/M8f2xqyAwbyKu79PAUKUo00=
6u8usueem8enspbjsu6bj2544034dae0.dentist.	3600	in	nsec3	1 1 0 73 78DN50KKV8C0NOLEJJ2C6TAHBTSR8UPP NS DS RRSIG
