aai.property.	900	in	ns	ns1016.ui-dns.biz.
aai.property.	900	in	ns	ns1031.ui-dns.com.
aai.property.	900	in	ns	ns1037.ui-dns.org.
aai.property.	900	in	ns	ns1123.ui-dns.de.
aapxx.property.	900	in	ns	kelly.ns.cloudflare.com.
aapxx.property.	900	in	ns	logan.ns.cloudflare.com.
aarp.property.	900	in	ns	ns1.markmonitor.com.
aarp.property.	900	in	ns	ns2.markmonitor.com.
aarp.property.	900	in	ns	ns3.markmonitor.com.
aarp.property.	900	in	ns	ns4.markmonitor.com.
aarp.property.	900	in	ns	ns5.markmonitor.com.
aarp.property.	900	in	ns	ns6.markmonitor.com.
aarp.property.	900	in	ns	ns7.markmonitor.com.
abc8.property.	900	in	ns	indie.ns.cloudflare.com.
abc8.property.	900	in	ns	julian.ns.cloudflare.com.
aboutthehouse.property.	900	in	ns	ns31.domaincontrol.com.
aboutthehouse.property.	900	in	ns	ns32.domaincontrol.com.
absenceslowchoose.property.	900	in	ns	ns43.domaincontrol.com.
absenceslowchoose.property.	900	in	ns	ns44.domaincontrol.com.
abudhabirealestate.property.	900	in	ns	ns1.sedoparking.com.
abudhabirealestate.property.	900	in	ns	ns2.sedoparking.com.
access.property.	900	in	ns	ns1.bdm.microsoftonline.com.
access.property.	900	in	ns	ns2.bdm.microsoftonline.com.
access.property.	900	in	ns	ns3.bdm.microsoftonline.com.
access.property.	900	in	ns	ns4.bdm.microsoftonline.com.
accord.property.	900	in	ns	ns1.syd5.hostyourservices.net.
accord.property.	900	in	ns	ns2.syd5.hostyourservices.net.
acebuys.property.	900	in	ns	dns101.registrar-servers.com.
acebuys.property.	900	in	ns	dns102.registrar-servers.com.
acquira.property.	900	in	ns	ns37.domaincontrol.com.
acquira.property.	900	in	ns	ns38.domaincontrol.com.
active.property.	900	in	ns	ns1.syrahost.com.
active.property.	900	in	ns	ns2.syrahost.com.
acumen.property.	900	in	ns	ns1.namecity.com.
acumen.property.	900	in	ns	ns2.namecity.com.
adamedwards.property.	900	in	ns	ns37.domaincontrol.com.
adamedwards.property.	900	in	ns	ns38.domaincontrol.com.
adamkennedy.property.	900	in	ns	ns1060.ui-dns.de.
adamkennedy.property.	900	in	ns	ns1067.ui-dns.biz.
adamkennedy.property.	900	in	ns	ns1091.ui-dns.com.
adamkennedy.property.	900	in	ns	ns1094.ui-dns.org.
