0crinv70t2h4pogm09sopn5upf2i8fb5.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. XNlqwasIDrBtvWRLXJajJODSyWULMqJFp8NalAaYilyC5nuXSaH1QtbyMSiXLPs+FV/zw8AJ2hJC7+gkujhm+5Kholn65ksFFdN2zix+ieBYhHwHKBs4qIWg+gH3NAwFspsyZnafC3rc75H3xTvIrjG9PmrQkAlGp4zFz2sEtwY=
0d1oa4491k9ciivl5emu502ds82ruq61.coffee.	3600	in	nsec3	1 1 0 73 0D2IH1K1M729VVFOGHD5MIG9SJK8DH7V NS DS RRSIG
0d1oa4491k9ciivl5emu502ds82ruq61.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. wKssBE3//kO/VBNI0p57VhUigVy5D5d/9/b2S8/Hx6NUKUhQp5BUw5ZSm6vxTFW9gNFF+pmTJGt4ru9rt3p2l9iEYl90Ft3mzraD7rOrD7gJAEKVa0D2F2SaggtqK7ECsgfQvviuD8jp364JfwJj6f+M8AaGTopieDbLEH59tRo=
0d2ih1k1m729vvfoghd5mig9sjk8dh7v.coffee.	3600	in	nsec3	1 1 0 73 0D2VCHBKHQKI7URA7SJMFT1H0ATJ23QI NS DS RRSIG
0d2ih1k1m729vvfoghd5mig9sjk8dh7v.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. Gc6H0UmeehRtAczwczIfuWJuftpReEnWCx2JqL1Skqf5kbM3ZHy/K1Pc4byTHVSrdQDCmjDslcLqYzU2njJ5cIOpq5e9ql4SBReOpbvajsk4SePRMQpeWHuSRvG0Zv7PETtR9RrIeoxs1ZC/nSvWAh7ijQ+drt4GCpyasOXc3FQ=
0d2vchbkhqki7ura7sjmft1h0atj23qi.coffee.	3600	in	nsec3	1 1 0 73 0D77T8RAJV61ITQU69CDQ93L62DEJLP0 NS DS RRSIG
0d2vchbkhqki7ura7sjmft1h0atj23qi.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. mEyrIBj3hMqm+C76VhKAAQpGCd/7pE72LEqtWUR38v8LFs2ewVmh0Oab4ZtTz7IHnN9EQCe7uprW1eiMXzuuObaneGch0EOGnP+KUyWNyL6Cr2kdC3d+9WP78PxM+AFqvtFK9j9ulXuffx0F3S3Ce5gzkZcyZyA8jwOSW/M8Kk8=
0d77t8rajv61itqu69cdq93l62dejlp0.coffee.	3600	in	nsec3	1 1 0 73 0D94ME80C1GQJTPB94JPSUQG2N635T94 NS DS RRSIG
0d77t8rajv61itqu69cdq93l62dejlp0.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. ZdB/L7bpn2DSCKi8wzFNFbh7WGjilg42DsLhGnr4QXLGFhWTPjcqxyBJiI8ZwHu9W8KQlxAfEh1v7b/SUBdPdTZZJQfgmzrOkAlDPrj2BQ2zy4y0WSU+BnJQejFxZo7OjYMpPLfSWEJTgNzfEwuXkE0rIzfpT5oIjvJIyxFUul0=
0d94me80c1gqjtpb94jpsuqg2n635t94.coffee.	3600	in	nsec3	1 1 0 73 0DB534BGLLSM1SCQ1N2N3II3AVLK0ALD NS DS RRSIG
0d94me80c1gqjtpb94jpsuqg2n635t94.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. aiSnol7m0Dye7yVAuySnXkZe/I3eouQNwv9kGANZdISOFDeMBiGpSGVFZ/alrlQGVbSehKDnXV3OOxg44M/kv0u2tA8n0AiIHfqVrD/NZCBnJmuQfwBJPai8yZ/YkGPdp5C21xztHYEcj2zV3AvDXUjZ8fK54WwWzCHzbROmHtc=
0day.coffee.	3600	in	ns	dns1.registrar-servers.com.
0day.coffee.	3600	in	ns	dns2.registrar-servers.com.
0db534bgllsm1scq1n2n3ii3avlk0ald.coffee.	3600	in	nsec3	1 1 0 73 0E439OJ0OB74M6M6HL18IFN3P67A80D7 NS DS RRSIG
0db534bgllsm1scq1n2n3ii3avlk0ald.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. OTikqEb6KQa2XDjYiVoZFrcv5/CuKTUg6g2kyse9BeiNOvH1h8Un4bJGUC03Le8cCi/SH5GRvleLXp5mHNF5yitQSiXRNPW/XIcliUwHC90OnZEWNK7NLAvxRFh3a8g8fKDqg4edFILHmTSmhh2z28SCqTOnlgsPteiFbZ9G/fw=
0e439oj0ob74m6m6hl18ifn3p67a80d7.coffee.	3600	in	nsec3	1 1 0 73 0F2220UOSBLINVLKTBE24VG0CFIN3T3Q NS DS RRSIG
0e439oj0ob74m6m6hl18ifn3p67a80d7.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. xx5agRCUQdSXqRKUCA7NNA1KUdjTbYBqGAGjuqp4yeoq3THujeiusTe7vCB6/UW4eo1AnsWaOpej/nCVo8A1WwcSlLX+Lu7wiq8+74xdvypSEQFaUI/XWIxl5ODxOStEq6L08d5lmCWPgyt7/b5Vc4GsmUsb+NDXoNIT5JzhmJ8=
0f2220uosblinvlktbe24vg0cfin3t3q.coffee.	3600	in	nsec3	1 1 0 73 0F76R1TVVMJ70GF9NH19JFNF9EV83EIK NS DS RRSIG
0f2220uosblinvlktbe24vg0cfin3t3q.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. B4fxf/W72rh+oVll+Dj5sIoW2+8pJVrLCp+ItRuixhtl/JgPvdV9ELWWKlOUUFu7vsc7vomoRTNvy0Z5bMTPvSNq6/++kGJ+wDDyO1he2RvTRQM+2bIaae2oZchMFPinEVsRZzA34UPvgd3QoQ/QlHe6dbFX9NsXyA9hQ5CVCaM=
0f76r1tvvmj70gf9nh19jfnf9ev83eik.coffee.	3600	in	nsec3	1 1 0 73 0FOM5NNUJIKFHFR0AVVTAGFS66CPI6NM NS DS RRSIG
0f76r1tvvmj70gf9nh19jfnf9ev83eik.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. xkJD7pG2ba8pwyy6qaDyx8U+005LMhMPQlHFrMgx3zGssOxFK6y8BNlqbUl15+9fstIT2F8CIJKPYl0INGgE4G81D9Y+ym4RKXN1T60Udm+Pmlm0bySL9fXtE49RgHdbaa0R85j70EJnFzrsrMxJrijRYHcjrX9EfPgELxJ1IIk=
0fom5nnujikfhfr0avvtagfs66cpi6nm.coffee.	3600	in	nsec3	1 1 0 73 0FQIKK0E2R06E4Q32HUQL7E4IDMLUDTG NS DS RRSIG
