12c7cv61gieeoee594n2ijqgho3s858c.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. t++aS2eoch7G6KRmKTyw7HbBjOL1muXPcUpc3nwxmLiPEXaOr9dj/eOxA6XHrIcPw34IeMOSTeLEnhDKjlG4hkYPP332XYXtYa12A+JYOq67fN6A5i9JjzK8XXdDAly4iljH9drHlgFPAdXSanJNLl3VVjrBS8/6566nDgPl4p0=
12uo1sp03kom62i3d8otmh2a91ns5sb4.wien.	86400	in	nsec3	1 1 0 - 165VQ8DRGBSEBP0AL17HRND780GQ202F NS DS RRSIG
12uo1sp03kom62i3d8otmh2a91ns5sb4.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. r7cIzraWaH+CNU6F+px/I2ST3l7X8KkQdtw90ZkR8sXeSTgU+7aHt08kN2LgmnXkGk0z37cUQSOswuIIKvsQkq2eLISFUawtBcxEfvhaD5sFfhaTAhV02O9d6cNvblQaOrxwgsqMgN9PaIRhFurZCZCDchaxYDKRE8iZjy3scoY=
13-10.wien.	14400	in	ns	disabled-dns1.dogado.net.
13-10.wien.	14400	in	ns	disabled-dns2.dogado.net.
1300.wien.	14400	in	ns	ns1.netzadresse.at.
1300.wien.	14400	in	ns	ns2.netzadresse.at.
1300.wien.	14400	in	ns	ns3.netzadresse.at.
1300.wien.	14400	in	ns	ns4.netzadresse.at.
1400.wien.	14400	in	ns	ns1.netzadresse.at.
1400.wien.	14400	in	ns	ns2.netzadresse.at.
1400.wien.	14400	in	ns	ns3.netzadresse.at.
1400.wien.	14400	in	ns	ns4.netzadresse.at.
141.wien.	14400	in	ns	ns3.domainname.at.
141.wien.	14400	in	ns	ns4.domainname.at.
1450.wien.	14400	in	ns	ns1.netzadresse.at.
1450.wien.	14400	in	ns	ns2.netzadresse.at.
1450.wien.	14400	in	ns	ns3.netzadresse.at.
1450.wien.	14400	in	ns	ns4.netzadresse.at.
15sweetminutes.wien.	14400	in	ns	cns1.cloudpit.de.
15sweetminutes.wien.	14400	in	ns	cns2.cloudpit.com.
15sweetminutes.wien.	14400	in	ns	cns3.cloudpit.io.
165vq8drgbsebp0al17hrnd780gq202f.wien.	86400	in	nsec3	1 1 0 - 1C5AIR2N0NQGGK17H323617DKN7SHRFT NS DS RRSIG
