alexwaldbart.florist.	3600	in	ns	ns46.worldnic.com.
alfatraining.florist.	3600	in	ns	ns.udag.de.
alfatraining.florist.	3600	in	ns	ns.udag.net.
alfatraining.florist.	3600	in	ns	ns.udag.org.
alfreton.florist.	3600	in	ns	ns39.domaincontrol.com.
alfreton.florist.	3600	in	ns	ns40.domaincontrol.com.
algo.florist.	3600	in	ns	ns-cloud-c1.googledomains.com.
algo.florist.	3600	in	ns	ns-cloud-c2.googledomains.com.
algo.florist.	3600	in	ns	ns-cloud-c3.googledomains.com.
algo.florist.	3600	in	ns	ns-cloud-c4.googledomains.com.
algofan.florist.	3600	in	ds	61016 8 2 42D370F37E9ACB35A64856ECD5C44DE98C47CA16F0BA66BD3EE03959562B6FE6
algofan.florist.	3600	in	ns	ns-cloud-a1.googledomains.com.
algofan.florist.	3600	in	ns	ns-cloud-a2.googledomains.com.
algofan.florist.	3600	in	ns	ns-cloud-a3.googledomains.com.
algofan.florist.	3600	in	ns	ns-cloud-a4.googledomains.com.
algofan.florist.	3600	in	rrsig	DS 8 2 3600 20250930152632 20250909142632 49239 florist. nvBuEJZ/PjTmDjVh3bRLuHqW4Gum28og7wTLSwfnQaBauQEzGq9dfvcJCdWDTMwCVUdfXMVyBs/wMeJlVxqWcj0/p7dx3VBDz0VzYLYpIyqBD/XBzyAJNZCBDXZhGNwb7aL+DSXo8OTYFd6UWrJwWJW4NVMGqyL8nSlePX4EZyA=
algorand.florist.	3600	in	ns	ns-cloud-b1.googledomains.com.
algorand.florist.	3600	in	ns	ns-cloud-b2.googledomains.com.
algorand.florist.	3600	in	ns	ns-cloud-b3.googledomains.com.
algorand.florist.	3600	in	ns	ns-cloud-b4.googledomains.com.
allans.florist.	3600	in	ns	ns01.domaincontrol.com.
