0f3lumvombah3534jufcda0o485sje4l.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. WP60XHzfjNEsdJhJqfWrIh0E62nYr2ZPXe9pQthvOXbPAX1OtbJxWDJr5XvNMJ5an1Isp8C9Fyer1mXxffR8mOHf9EWHh6eZ1QQ41cKpWHN5EDOcEEUZ8PDgJ9msDcjhDyeqfOchoBD3n2EGUOXCkW2HN2Nkm2xRlYHwV6MzqB8=
0g1pgfj4mt7fgsdjspls0giirjfbu1qa.legal.	3600	in	nsec3	1 1 0 73 0GTO7611LOULJH8P52E111AFKGLOK20G NS DS RRSIG
0g1pgfj4mt7fgsdjspls0giirjfbu1qa.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. wUB2X1Oy8ey+r3fAS1/D6a+Q5owi3fSPeel4tJaxABP/Ev/SDVo1JLQaTO+vLjexZmig8R45uEvyAqvyK4IQKSUmh/jxvBQDsFZIf2jP99vBvitAdD0UIvMinuqcokm3hfxOMtarqIE4F1c66QNIM1NOzy44GxLc6h8o2yV0Z3M=
0gier.legal.	3600	in	ns	ns1037.ui-dns.biz.
0gier.legal.	3600	in	ns	ns1038.ui-dns.com.
0gier.legal.	3600	in	ns	ns1069.ui-dns.org.
0gier.legal.	3600	in	ns	ns1126.ui-dns.de.
0gto7611louljh8p52e111afkglok20g.legal.	3600	in	nsec3	1 1 0 73 0HP7T9OG08IM27G5U5D00F1S253S908J NS DS RRSIG
0gto7611louljh8p52e111afkglok20g.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. hFW0yEyyX4sBd7Q7vgV3V9kU6l5pn0U06r9jHtHvSfCHtj0ywEeFsZ8xf89KlCUKMfxXSNq5ceR6TMqZwoZoZPVMb905C/YX+DBKIBclCWvj6YHMxnNb+Q1emWDd2+BYlKYege7JN+I4futQej2aisntJeGb6cc1hmPfRxW5TQw=
0hp7t9og08im27g5u5d00f1s253s908j.legal.	3600	in	nsec3	1 1 0 73 0HUI6JEK309BLBL07BJ4VMBQKLC1OOTL NS DS RRSIG
0hp7t9og08im27g5u5d00f1s253s908j.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. mu/+/4ySSmY05yZoYDk9d8+VPI58wytNaxYokZA2PS1z2CYKXDBDEx8gCMWLzTCk9zaGoCitCQaNFHegmTQehTyvZLhDNIW/B7sM2x8M5gXZUfKvzKe3jBGo6wZm8aqforSraAZ8/cr5cGFO9TKYJ24Ozn66Lejj1TU98UxrS5I=
0hui6jek309blbl07bj4vmbqklc1ootl.legal.	3600	in	nsec3	1 1 0 73 0I10KTLN05RNGFDDUEL2KHSOH5FDJ001 NS DS RRSIG
0hui6jek309blbl07bj4vmbqklc1ootl.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. hJRjR44u+5mlo/6NApSb6St+lvxEQYFwH+cjszqDOWDTYrwkM4n4ZFIdHXUwYMw7W6ItICAp+b44HOTI00X0yOwxWKGTJttrn/JuVvW6q2x0LMyKwHU2BJSPhdyDEvTEaxnG6ud9NarJb2kh8Mq+3LbK6thTEWCBLNxFesTlai4=
0i10ktln05rngfdduel2khsoh5fdj001.legal.	3600	in	nsec3	1 1 0 73 0II6CN1IL5R1L6499K8F2NS5Q3CVRQG8 NS DS RRSIG
0i10ktln05rngfdduel2khsoh5fdj001.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. opbpfEkeM7ychrKyua+FWqN6tSSIRKvWiyTkEB22IM+J0O0TMf7q9LqFmbRYDmW2ZGqMEsFqY58osN151pPOppDcAt9P39asb/QOR46RNYJW2nkoRggRQt2v/Kvpy9rIoqaf00fIqh58alr/T77BoC5zBx8UbNRRc8jS1jhE+cI=
0ii6cn1il5r1l6499k8f2ns5q3cvrqg8.legal.	3600	in	nsec3	1 1 0 73 0IR1O3OQQVJ0F4LF9UUP7BNBFG8H83UB NS DS RRSIG
